title,text,summary,keywords,authors
Solvay Introduces 2 Bio-based and Biodegradable Surfactants,"Mirasoft SL L60 and Mirasoft SL A60 are glycolipid biosurfactants, suitable for a range of applications in beauty care such as shampoos, conditioners, shower gels, face washes and creams.

Solvay has introduced Mirasoft SL L60 and Mirasoft SL A60 (INCIs: Not Provided), two glycolipid biosurfactants that enable the development of sustainable beauty care products. Based on rapeseed oil and sugar with a low environmental and carbon footprint, these ingredients are suitable for a range of applications in beauty care such as shampoos, conditioners, shower gels, face washes and creams.

Previously: Solvay Adds to Biodegradable Jaguar Range with NAT SGI and Excel

Mirasoft SL L60 and Mirasoft SL A60 are 100% biobased and biodegradable surfactants manufactured through a fermentation process. They are suitable for hair and skin care, and are designed to provide the same performance as synthetic ingredients without associated harmful effects on the environment. The actives follow green chemistry processes.

The Mirasoft range aligns with Solvay’s growth platform on “Renewable Materials and Biotechnology,"" which is aimed to meet the growing demand for safer, cleaner and more sustainable solutions by increasing the share of renewable carbon in Solvay’s product offerings and developing business opportunities enabled by biotechnology and product end-of-life management.

“This product launch underlines both our commitment to surfactants technology and our long-term vision for the future,” commented Jean-Guy Le Helloco, global vice president, home and personal care at Solvay. “We focus on future technology shifts to enable our customers to reach their sustainability goals.”

“With the potential of a net neutral carbon footprint in the near future, biosurfactants represent a step-change technology in the eco-design of next-generation beauty care products,"" said Galder Cristobal, research and innovation director of home and personal care at Solvay. ""The eco-profile of Mirasoft SL L60 and Mirasoft SL A60 is truly a breakthrough compared to conventional, fossil fuel-based surfactants.""",,[],[]
"Seaweed Protein Market Size To Reach $1,397.7 Million by 2030, says P&S Intelligence","NEW YORK, June 15, 2022 /PRNewswire/ -- In 2021, the worldwide seaweed protein market was worth around $513.7 million, which is set to touch $1,397.7 million by 2030, growing at an 11.8% CAGR from 2021 to 2030, according to the latest market research study published by P&S Intelligence. A growing trend is protein extraction from eatable seaweeds for a variety of health purposes. Alternative protein sources are preferred since, unlike cow ranching, they do not take up additional land or cause greenhouse gas emissions while being cultivated.

Highest Revenue Generator Is Protein Extracted from Red Seaweeds

In 2021, proteins produced from red seaweeds accounted for an over 70% share in the seaweed protein market. Red seaweeds account for over half of all the seaweed farming practiced globally. Nori, a red seaweed with a protein level of up to 47%, has the highest measured protein content. Humans use red seaweed mostly as a binder in food items and as a bacterial substrate in labs.

Get the sample pages of this report at: https://www.psmarketresearch.com/market-analysis/seaweed-protein-market/report-sample

Key Findings of Seaweed Protein Market Report

The various non-food uses of seaweeds, such as nutraceutical, pharmaceutical, animal feed, biofertilizers/bio-stimulants, cosmetics, bio-packaging, carbon capture or sequestration, biofuels, and textile fibers, are projected to drive the market growth in the future.

Because of their health, nutritional, and socioeconomic benefits, seaweed proteins are becoming a popular alternative protein source throughout the world.

In the year 2021, the food sector accounted for over 80% of the total income from the sale of seaweed proteins. Product consumption in the food sector continues to be driven by the increasing demand for seaweed snacks and growing popularity of Japanese cuisine.

Conventional methods of extraction held a 55% share of the seaweed protein market in the past. When compared to other approaches, seaweed extracts made using the conventional alkaline process give higher yields.

Seaweed production in China is the world's highest. China's eight farmed seaweed species can provide protein equivalent to 3 million tons of rice, 1.5 million tons of pork, 11 million tons of spinach, and 15 million tons of potatoes in a year.

Regional Analysis

The utilization of hydrocolloids and seaweeds in APAC accounts for almost 60% of the seaweed protein market share. China has surpassed the U.S. as the leading importer of non-edible and edible seaweed for processing. Similarly, behind China, the Philippines is the world's second-largest supplier of processed and semi-processed carrageenan. Carrageenan exports from the Philippines have surged by more than 40% in the last 10 years.

Browse detailed report on Global Seaweed Protein Market Analysis and Forecast Report 2022-2030

The most-significant seaweed crop farmed in Chile is Gracilaria chilensis, which accounts for 100% of the overall biomass produced by aquaculture. In Chile, seaweed farming has increased by over 400% in the last 10 years. Chile's second-most-exported commodity is dehydrated seaweed products, with more than two-thirds going to China and the remainder to Denmark, Canada, France, Norway, and Japan.

Seaweed Protein Market Segmentation Analysis

By Group

Red

Brown

Green

By Extraction Method

Conventional

Advanced

By Application

Food

Animal feed

Cosmetic

By Region

North America

U.S.



Canada

Europe

Germany



France



U.K.



Italy



Spain

APAC

China



India



Japan



South Korea



Philippines

RoW

Brazil



Chile



Saudi Arabia

Browse More Reports Published by P&S

Global Plant-Based Protein Market Growth Forecast Report

Global Dietary Supplements Market Growth Forecast Report

Global Meat Substitutes Market Growth Forecast Report

Global Omega-3 Market Growth Forecast Report

About P&S Intelligence

P&S Intelligence provides market research and consulting services to a vast array of industries across the world. As an enterprising research and consulting company, P&S believes in providing thorough insights on the ever-changing market scenario, to empower companies to make informed decisions and base their business strategies with astuteness. P&S keeps the interest of its clients at heart, which is why the insights we provide are both honest and accurate. Our long list of satisfied clients includes entry-level firms as well as multi-million-dollar businesses and government agencies.

Contact:

Prajneesh Kumar

P&S Intelligence

Phone: +1-347-960-6455

Email: [email protected]

Web: https://www.psmarketresearch.com

Follow Us: LinkedIn Twitter

Logo: https://mma.prnewswire.com/media/1224988/P_and_S_Intelligence_Logo.jpg

SOURCE P&S Intelligence",,[],['P S Intelligence']
"Oleochemicals Market size worth $ 49.03 Billion, Globally, by 2030 at 6.45% CAGR: Verified Market Research®","The demand for specialty esters is increasing in end-use industries such as personal care and cosmetics, and the growing need for sustainable and biodegradable products to reduce its dependence on petrochemical products is expected to drive market expansion.

JERSEY CITY, N.J. , June 15, 2022 /PRNewswire/ -- Verified Market Research recently published a report, ""Oleochemicals Market"" By Product (Fatty Acids, Fatty Alcohols), By Application (Plastics, Coatings), and By Geography. According to Verified Market Research, the Oleochemicals Market size was valued at USD 29.85 Billion in 2021 and is projected to reach USD 49.03 Billion by 2030, growing at a CAGR of 6.45% from 2022 to 2030.

Verified_Market_Research_Logo

Download PDF Brochure: https://www.verifiedmarketresearch.com/download-sample/?rid=19538

Browse in-depth TOC on ""Oleochemicals Market""

202 - Pages

126 – Tables

37 – Figures

Global Oleochemicals Market Overview

Manufacturers are turning to oleochemicals as a renewable, sustainable alternative in the chemical sourcing industry to meet consumer demands. Bio-based chemical manufacturing is important in markets that prioritize functionality, and demand for sustainable sourcing will rise as the global population grows. As the demand for environmentally friendly products grows and the price of oil rises, the need for oleochemicals will rise as well. The growing demand for bio-based plastics is likely to boost the market growth. Oleochemicals are a low-cost, widely available alternative to industrial chemicals and fuels. These environmental and economic advantages are driving up demand for oleochemicals all around the globe.

Owing to rising crude oil prices and the affordability of plant-based lauric oils produced from palm kernels, manufacturers began switching from petrochemicals to oleochemicals in the late 1970s. Fatty acids, the most widely used oleochemical, and other basic oleochemical substances are produced by a variety of chemical and enzymatic reactions. However, volatility in the feedstock market restrains the Oleo Chemicals Market growth. Furthermore, oleochemicals are used in a wide range of applications, and several emerging oleochemical uses are replacing petroleum-based products, offering a significant growth opportunity for global Oleochemicals industry players.

Story continues

Key Developments

In August 2021, Emery Oleochemicals announced that they launch New Website for Bio-Lubricants Business Unit.

In 2018, P&G announced that they acquire German Merck's consumer health business for about $4.21 billion. P&G said the acquisition had been agreed upon and would enable it to expand its portfolio of consumer healthcare products.

Key Players

The major players in the market are Croda, Wilmar International, Emery Oleochemicals, IOI Group, Musim Mas Group, VVF, Kao, BASF, Unilever Oleochemical Indonesia, New Japan Chemical, KLK OLEO, P&G Chemicals, Cargill, and Godrej Industries.

Verified Market Research has segmented the Global Oleochemicals Market On the basis of Product, Application, and Geography.

Oleochemicals Market, By Product

Oleochemicals Market, By Application

Oleochemicals Market, by Geography

Browse Related Reports:

Specialty Oleochemicals Market By Product (Specialty Esters, Glycerol Esters, Alkoxylates), By Application (Paints & Coatings, Polymer & Plastic Additives, Textile), By Geographic Scope And Forecast, By Geography, Forecast, 2021-2028

Alpha Olefins Market By Type (1-Butene, 1-Hexene, 1-Octene, and Others), By Application (Polyolefin Co-monomers, Surfactants & Intermediates, Lubricants, Oil Field Chemicals, and Others), By Geography, Forecast, 2021-2028

Arabinogalactan Market By Type (Western Larch Source, Mongolian Larch Source), By Application (Food & Dietary Supplement, Pharmaceutical), By Geography, Forecast, 2021-2028

Oleochemical Fatty Acid Market By Product (Unsaturated Fatty Acids, Saturated Fatty Acids), By Application (Soap & Detergent, Fatty Amine and Fatty Amide, Fatty Acid Ester, Rubber, Others), By Geography, Forecast, 2021-2028

Top 10 Cosmetics Companies polishing the appearance to give a royal look

Visualize Oleochemicals Market using Verified Market Intelligence -:

Verified Market Intelligence is our BI Enabled Platform for narrative storytelling in this market. VMI offers in-depth forecasted trends and accurate Insights on over 20,000+ emerging & niche markets, helping you make critical revenue-impacting decisions for a brilliant future.

VMI provides a holistic overview and global competitive landscape with respect to Region, Country, Segment, and Key players of your market. Present your Market Report & findings with an inbuilt presentation feature saving over 70% of your time and resources for Investor, Sales & Marketing, R&D, and Product Development pitches. VMI enables data delivery In Excel and Interactive PDF formats with over 15+ Key Market Indicators for your market.

About Us

Verified Market Research is a leading Global Research and Consulting firm servicing over 5000+ customers. Verified Market Research provides advanced analytical research solutions while offering information enriched research studies. We offer insight into strategic and growth analyses, Data necessary to achieve corporate goals and critical revenue decisions.

Our 250 Analysts and SME's offer a high level of expertise in data collection and governance use industrial techniques to collect and analyze data on more than 15,000 high impact and niche markets. Our analysts are trained to combine modern data collection techniques, superior research methodology, expertise and years of collective experience to produce informative and accurate research.

We study 14+ categories from Semiconductor & Electronics, Chemicals, Advanced Materials, Aerospace & Defense, Energy & Power, Healthcare, Pharmaceuticals, Automotive & Transportation, Information & Communication Technology, Software & Services, Information Security, Mining, Minerals & Metals, Building & construction, Agriculture industry and Medical Devices from over 100 countries.

Contact Us

Mr. Edwyne Fernandes

Verified Market Research®

US: +1 (650)-781-4080

UK: +44 (753)-715-0008

APAC: +61 (488)-85-9400

US Toll Free: +1 (800)-782-1768

Email: sales@verifiedmarketresearch.com

Web: https://www.verifiedmarketresearch.com/

Follow Us: LinkedIn | Twitter

Logo: https://mma.prnewswire.com/media/1315349/Verified_Market_Research_Logo.jpg

Cision

View original content:https://www.prnewswire.com/news-releases/oleochemicals-market-size-worth--49-03-billion-globally-by-2030-at-6-45-cagr-verified-market-research-301568536.html

SOURCE Verified Market Research",,[],[]
Global Bioenergies receives first orders from a number of major cosmetics players totalling several tonnes of Isonaturane® 12,"French English

Global Bioenergies receives first orders from a number of major cosmetics players totalling several tonnes of Isonaturane® 12

Paris, 07 June 2022 – Less than two months after the commissioning of the Pomacle commercial production unit, Global Bioenergies has received its first orders totalling several tonnes of Isonaturane® 12 from a number of major cosmetics players, including L’Oréal.

Isonaturane® 12 is the trademark registered by Global Bioenergies to designate its naturally sourced isododecane product. Isododecane is one of the most important molecules used in the cosmetics industry, both in the make-up segment, where it is the only molecule able to deliver longwear properties, and in skincare and haircare, where it endows textures with lightness and softness. Thanks to Global Bioenergies, this compound is now available in a bio-sourced version that meets ISO 16128 requirements in terms of naturalness in cosmetics products. Isonaturane®12 is manufactured entirely in France from locally sourced raw materials.

For L’Oréal, Global Bioenergies’ leading shareholder via the company’s BOLD (Business Opportunities for L’Oréal Development) investment fund, these first orders of Isonaturane® will contribute to support the Group’s efforts in terms of naturalness of its make-up products and are in line with the ambitious objectives of its Sustainability program L’Oréal for the Future.

Ana Kljuic, Vice-President R&I L’Oréal for the Future & Green Sciences, explained: “Our investment in Global Bioenergies is at the core of our commitment to achieve 95% bio-based ingredients, derived from abundant minerals or circular processes in our formulas by 2030. Thanks to its breakthrough technology that is now becoming an industrial reality, Global Bioenergies drives forward the cosmetics sector in its quest for naturalness and, beyond cosmetics, helps it to make a broader proactive contribution to the environmental transition.”

Daphne Galvez, Global Bioenergies Commercial Director, added: “Today, longstanding discussions with specific key players come to fruition. A further spate of orders is under preparation: at In-cosmetics, the world-leading event for cosmetics ingredients held last month in Paris at which we launched Isonaturane® 12 on the market, we held around a hundred discussions with a range of stakeholders including brands, tollers and distributors.”

About GLOBAL BIOENERGIES

Global Bioenergies converts plant-derived resources into compounds used in the cosmetics industry, as well as the energy and materials sectors. After launching the first long-lasting and natural make-up brand LAST® in 2021, Global Bioenergies is now marketing Isonaturane®12, its key ingredient, to major cosmetics companies to improve the naturalness of their formulas whilst improving their carbon footprint. Its process has numerous applications in specialty chemicals and polymers. In the long run, Global Bioenergies is also aiming at cutting CO 2 emissions in the aviation sector and thereby curb global warming. Global Bioenergies is listed on Euronext Growth Paris (FR0011052257 - ALGBE).

Receive information about Global Bioenergies directly by subscribing to our news feed on www.global-bioenergies.com

Follow us on LinkedIn: Global Bioenergies

Contacts

GLOBAL BIOENERGIES







invest@global-bioenergies.com



PRESS RELATIONS







Iva Baytcheva

ibaytcheva@ulysse-communication.com







Nicolas Daniels

ndaniels@ulysse-communication.com





Attachment",,[],['Global Bioenergies']
"Prologis, Revlon fall; Day One, Bluebird bio rise","Placeholder while article actions load

NEW YORK — Stocks that traded heavily or had substantial price changes Monday: Prologis Inc., down $8.81 to $108.43. Wp Get the full experience. Choose your plan ArrowRight The real estate investment trust is buying Duke Realty in an all-stock deal valued at about $26 billion. Bluebird bio Inc., up 54 cents to $4.27. The biotechnology company gave investors an encouraging update on the regulatory review for its potential blood disorder treatment.

AST SpaceMobile Inc., up 13 cents to $6.53.

The developer of a space-based cellular broadband network announced plans to launch its BlueWalker 3 test satellite in August.

Revlon Inc., down 88 cents to $1.17.

The Wall Street Journal reported that the cosmetics maker is close to filing for Chapter 11 bankruptcy protection.

Exxon Mobil Corp., down $4.61 to $95.85.

Energy companies slipped with the broader market as oil prices remain volatile.

Advertisement

Freeport-McMoRan Inc., down $3.04 to $37.17.

The copper and gold miner lost ground along with falling prices for precious metals.

Day One Biopharmaceuticals Inc., up $8.34 to $14.96.

The biopharmaceutical company gave investors an encouraging update on the development of a potential brain tumor therapy.

Apple Inc., down $5.25 to $131.88.

Technology stocks with lofty prices were among the biggest losers in a broad selloff over inflation and recession fears.

GiftOutline Gift Article",,[],['Associated Press']
Eurofragance Presents New Collections At In-Cosmetics 2022,"Eurofragrance showcased its new Ecoconscious and Sensolab collections at In-cosmetics, a leading fair for personal care ingredients, held between April 5th and 7th in Paris. The collections focus on sustainability and innovation and align with the company’s strategic plan and are intended to answer current consumer desires.

The creative Sensolab collection offers new sensorial experience with its solid fragrance formats, made possible thanks to technological innovation. This eco-friendly collection is characterized by products that use less water or are water-free. These products require less packaging, are lighter and are responsible for lower carbon emissions thanks to improved shipping conditions.

The collection includes a body lotion stick fragranced with bergamot and cannabis notes that is easy to carry and use as a basic cosmetic; a water-free coffee and white flower scented solid conditioner and a powder shampoo with hints of apricot and carrot, that eliminates the need for water. Other products included are a pocket deodorant in a compact powder format and a bath confetti soap that brings playfulness to the shower, in a format that diffuses olfactive notes of mandarin.

The company also presented the Ecoconscious collection of vegan, sustainable fragrances with natural ingredients, formulated with some eco-certifiable ingredients.

The multinational revealed various applications created with L’Ame du Bois™, the first captive perfumery ingredient derived from wood waste and developed by Eurofragance in October 2021. It was introduced at in-cosmetics this April in the form of fine fragrances, a shampoo and a scented candle.

Being an important ingredient in its history, the company looked for a way to produce a natural extract from wood without deforestation or negatively impacting the environment, and did so by upcycling discarded sawdust from a particular tree. After a time consuming and repetitive purification process, they were able to uncover an ingredient with the best olfactory profile, while retaining the soul of the wood.

Olegario Monegal, Global Business Unit Director of Home and Personal Care, explains, “These two categories, ‘home’ and ‘personal care’ are booming in Europe. Our presence at in-cosmetics illustrates our particular desire to accelerate our growth in personal care. We have a palette of high-quality raw materials and an excellent level of customer service along with valuable market knowledge that make us ready to respond to new consumer demands.”",,[],[]
"Active Health Foods, Inc. to Focus on Anti-Aging Business","Los Angeles, CA, June 14, 2022 (GLOBE NEWSWIRE) -- Active Health Foods, Inc. (OTC: AHFD) announced today that it has discontinued the previously announced business plans in the Energy Food Bars, Cannabis, and in the Coinchamp.com crypto-currency businesses. Effective last week, in conjunction with the acquisition of Bioidentical Hormones Inc. www.bio-hormones.com (BIO) and its wholly owned subsidiary, Australian Menopause Centre www.menopausecentre.com.au (AMC), AHFD shall focus only on the Anti-Aging Medicine Industry. Mr. Glen Bonilla, the former controlling shareholder and CEO, and Mr. Gregory Manos, are no longer affiliated with the Company.

AHFD will continue to operate and expand its skin care company, Etrnl Cosmetics, which has a unique chaga mushroom product for healthy skin. The Company will be making some significant additional announcements soon regarding the specifics of the BIO and AMC businesses

Joseph Wallace, President of AHFD stated, “The healthcare and anti-aging industry is a multi-billion dollar global business. AHFD will be a leader in the scientifically proven Bioidentical Hormone Replacement Therapy (BHRT) medical field, which will allow people to live healthier lives. BHRT, along with our skin care business, will be the focus for AHFD moving forward.”

Contact:

Joseph Wallace, President

Active Health Foods, Inc. Email: Joe@jwallace.biz

About Active Health Foods, Inc.

Active Health Foods, Inc., recently experienced a change of control with Los Angeles-based Entrepreneur Joe Wallace becoming CEO and Chairman.

Forward Looking Statements

This press release may contain forward-looking statements that involve risks and uncertainties. These statements relate to future events or our future financial performance. In some cases, you can identify forward-looking statements by terminology including ""could"", ""may"", ""will"", ""should"", ""expect"", ""plan"", ""anticipate"", ""believe"", ""estimate"", ""predict"", ""potential"" and the negative of these terms or other comparable terminology. While these forward-looking statements, and any assumptions upon which they are based, are made in good faith and reflect our current judgment regarding the direction of our business, actual results will almost always vary, sometimes materially, from any estimates, predictions, projections, assumptions or other future performance suggested in this report.

Story continues





CONTACT: Joe@jwallace.biz



",,[],['Active Health Foods Inc.']
R&D's Time to Shine: C&T Announces the Allē Awards Finalists,"The Cosmetics & Toiletries (C&T) Allē Awards will bring behind-the-scenes ingenuity in cosmetics and personal care R&D into the spotlight during an exclusive Awards Dinner, to be held on Sept. 28., 2022, at the Metropolitan Pavilion in NYC (co-located with Beauty Accelerate). Innovations ranging from cosmetic ingredients and product formulas, to digital technologies and test methods will be given their time to shine.

""This, our first year of the Allēs, was an intense process,"" said Rachel Grabenhofer, managing scientific editor, Cosmetics & Toiletries. ""There were many very close ratings—within just a few points,"" she added. ""For this reason, in the coming weeks, once we have gathered all the appropriate information, we will be sharing any judges' comments anonymously with all entrants. We hope this provides some constructive criticism; but also know the competition truly was that fierce.""

Get dinner tickets or Allēs logo kits here.

Congratulations to all the finalists! Each entry was put through an extensive review by multiple members of our esteemed judging panel and rated on multiple parameters to reach a grand total score. Following are the shortlists of finalists (in random order)—winners will be announced at the September 28 Awards Dinner. We hope you'll join us!

Active Ingredients

Rahn AG - Myramaze-Essence , Radicare-Eco and Defensil Pure (3 categories)

, and (3 categories) Lubrizol - Argireline Amplified peptide

Vitalab Srl - Vita Up-Gravity

Shiny Brands Group Co., Ltd. - FRSAB

Givaudan Active Beauty - Patchoul’up

Croda Inc. - Nutrinvent Balance

IFF—Lucas Meyer Cosmetics - Dendriclear

Seppic - Hydrachrysum

Geltor - Elastapur

Synergy Life Science - CannaSorb CB-Active

DSM Personal Care - Quali Vitamin B12

Solesence - Kleair

Evonik Corp. - Sphinox Defenda

EverCare - Assure+

Premium Organic - Alpin Heilmoor Extract

Base Ingredients

Vantage Personal Care - Liponate Jojoba 20

Kumar Organic Products Ltd. - Kopester IDO

Miyoshi America, Inc. - MiyoHaze White

Applechem, Inc. - Applemol PTIS Plus

P2 Science, Inc. - Citropol H Green Chemistry Cosmetics Polymer

Dow Consumer Solutions - HydroxyShield Polymer

Biosynthetic Technologies - BioEstolide 250

Presperse - GreenDiol

INOLEX - Lexgard MHG Natural MB

Nouryon - Solamaze Natural film former

Dow - Sustainable SunSpheres Bio SPF Booster for Sun Protection

Claims Testing Method/Tool

Sequential Bio - Microbiome-friendly Test

XCellR8 - Mildness Test

Evonik Corp. - SimDerma Platform

Digital Tech/App

Aedit - Aedit iOS App

Goldn USA, LLC - Goldn

Croda Inc. - SenStories Selector Tool

Finished Formula—Indie

Clean O2 Carbon Capture Technologies Inc. - CleanO2 Soaps

Codex Labs - Codex Labs Antu Brightening Serum

i-On by Dr. Xi - i-On Age Disrupting Skin Cream

Raaka's World - Flourish Scalp Serum

Sage and Ylang Redefining Beauty - Sage and Ylang Microbiome Series

Tosla - Premium Collagen Formulation with Velious Masking Technology

Roccoco Botanicals - Ruby Crystal Cleanser

Finished Formula—Mass

Good Chemistry - Good Chemistry Fragrance Collection

FusionPkg Beauty Lab - Destress Multitasking Beauty Broth

Abeytu' Naturals by Shaman Productions - Abeytu' Naturals Sublingual Anti Aging

Univar Solutions - Irresistible Satin Lip Cream

DECIEM - The Ordinary - Natural Moisturizing Factors + HA for Scalp

Winnox Cosmeceutics Sdn Bhd, an R&D Entity of Wipro - SOS Recovery Serum with NeuroBiome Technology

Shiny Brands Group Co., Ltd. - B3 Acne Solution

SNF Personal Care - Cold Process Mineral SPF 50+

Finished Formula—Prestige",,[],[]
Licorice Root Extract from Bio-Botanica Inc.,"Bio-Botanica's licorice root extract (INCI: Glycyrrhiza Glabra Extract) contains glycyrrhizin, which is known to impart an anti-inflammatory effect, and when used topically, it may help to reduce skin redness or irritation. It is known as an antioxidant and can protect the skin against free radicals. Glabridin may also brighten skin and reduce dark spots by inhibiting the enzyme tyrosinase, which causes pigmentation.

For more information, contact Bio-Botanica Inc.",,[],[]
Experts to talk on regulatory science in bio-health industry,SNS 기사보내기 카카오스토리(으)로 기사보내기 URL복사(으)로 기사보내기 이메일(으)로 기사보내기 다른 공유 찾기 기사스크랩하기,,[],[]
