title,text,summary,keywords,authors
"Male Colour Cosmetics Market is projected to expand at a CAGR of 13.9% from 2022 to 2029: Future Market Insights, Inc.","NEWARK, Del, June 15, 2022 (GLOBE NEWSWIRE) -- The global male colour cosmetics market is expected to register new growth opportunities during the forecast period. The market is projected to rise at a CAGR of ~11% between 2019 and 2029, Future Market Insights foresees high growth for the market.



Globally, rising internet penetration and adoption of e-commerce are the factors expected to fuel the revenue growth of global male colour cosmetics market, owing to growing number of customers using digital technology for mobile transactions and purchasing various products through online platform. In order to capitalize on millennial that are tech-savvy, companies in male colour cosmetics market are engaged with consumers through the use of social media and other digital avenues to advertise their products and increase the market share via online sales revenue.

Increasing online sales and use of e-commerce for selling FMCG products in North America, East Asia, and South Asia has led to surge the growth of B2C business in the consumer goods sector. Over the years, consumers’ behaviour has drastically changed and are more inclined towards researching about products online and purchasing various products such as men lips sticks, men foundation creams, and other products through e-commerce.

Request Sample PDF @

https://www.futuremarketinsights.com/reports/sample/rep-gb-11158

Key Takeaways from the Male Colour Cosmetics Market Study

According to the report, key market players are likely to focus on the product penetration Latin America and South Asia. Manufacturers of male colour cosmetics are shifting their focus toward natural and organic ingredient in the products. Increasing awareness coupled with look conscious behaviours of men with regard to men’s colour cosmetics is one of the major reasons for men to opt for natural and organic products. To target this untapped group, companies are developing novel products with natural ingredients, which in turn is expected to boost the demand for male colour cosmetics in the near future. Moreover, product advertisement related to customer sentiments is the key strategy adopted by male colour cosmetics companies.

The Latin America is forecasted to witness high growth rates due to increasing company’s penetration in the region and increasing product awareness among men in the region. Strengthening sales channels in the Latin America and Middle East & Africa is anticipated to create significant expansion opportunities for players in the global male colour cosmetics market.

E-commerce sales channel is estimated to generate high revenue in the forecasted years for the male colour cosmetics market owing to increasing internet usage among consumers.





Celebrity Endorsement to Inspire Consumer’s Buying Behaviour

An emerging trend in the male colour cosmetics market is the increasing number of key players appointing various celebrities from the field of sports and films to endorse their products, with an objective to influence consumers to adopt the same. For instance, David Beckham & L’Oréal has entered into a partnership for male product promotion under the brand ‘HOUSE 99’. The brand is engaged in offering Natural Bronzing Effect Moisturising Gel.

Who is winning?

Some of the key players operating in the male colour cosmetics market are as L’oreal, War Paint, Koh Gen Do, Calven Klein, 4VOO, Glossier Inc., Guerlain, Hourglass, Formen Inc., Mens MakeUp, Menaji Worldwide LLC, Chanel and others

Several leading market players are engaged in partnership with other stakeholders to increase their product offering across the world. Moreover, companies are engaged in product innovation, launches, and advertisement on social networks to promote their products.

In 2018, Chanel launched its first make-up line for men, ‘Boy De Chanel’. The product launch comprises of an eyebrow pencil, a foundation and other products.





Ask an Analyst @ https://www.futuremarketinsights.com/ask-the-analyst/rep-gb-11158

Key Segments of Male Colour Cosmetics Industry Survey

Male Colour Cosmetics Market by Product:

Lip Products

Face Products BB Creams CC Creams Concealers Blotting Powders Beard Colour Sticks/Pens Face Foundations

Eye Products Under Eye Concealers Kohl Eyeliners Eyebrow Pencils

Other Products

Male Colour Cosmetics Market by End User:

Individual Products

Commercial Products

Male Colour Cosmetics Market by Nature:

Natural/Organic Colour Cosmetics

Colour Cosmetics Synthetic Colour Cosmetics

Male Colour Cosmetics Market by Price Range:

Premium Colour Cosmetics

Mass Colour Cosmetics

Male Colour Cosmetics Market by Sales Channel:

Hypermarkets/Supermarkets

Speciality Stores

Drug Stores

Online Retail

Department Stores

Beauty Stores

Multi-brand Stores

Direct Sales

Male Colour Cosmetics Market by Region:

North America Male Colour Cosmetics Market

Market Latin America Male Colour Cosmetics Market

Market Europe Male Colour Cosmetics Market

Market East Asia Male Colour Cosmetics Market

Market South Asia & Pacific Male Colour Cosmetics Market

Market Middle East & Africa (MEA) Male Colour Cosmetics Market

Purchase Report @ https://www.futuremarketinsights.com/checkout/11158

Table of Content

1. Executive Summary

1.1. Male Colour Cosmetics Market Outlook

1.2. Summary of Key Statistics

1.3. Summary of Key Findings

1.4. Analysis and Recommendations

2. Market Overview

2.1. Market Taxonomy

2.2. Market Definition

3. Male Colour Cosmetics- Industry Growth Analysis

3.1. Contribution of Male Colour Cosmetics in Global Personal Care Industry

3.2. Changing Men Perception towards Colour Cosmetics

3.3. Evolution of Male Colour Cosmetics

3.4. Taboos Link to Masculinity

4. Key Market Trends

4.1. Key Trends Impacting the Market

4.2. Product Innovation Trends

5. South Korea- an Exciting Prospect For Beauty Suppliers

5.1. South Korea s Beauty and Personal Care Market Overview

5.2. Korean Beauty Brands – Strengthening their Marketing Efforts

5.3. Consumer Trend in South Korea Market

6. Consumer Sentimental Analysis

6.1. Percentage of Demand by Age Group

6.2. Percentage of Demand by Preferred Sales Channel

6.3. Percentage of Demand by Products Type

6.4. Social Media Sentimental Analysis

6.5. Others

Click Here for Male Colour Cosmetics Market 300 pages TOC Report

Have a Look at Related Research Reports of Consumer Product:



Portable Toilet Rental Market Share : Portable Toilet Rental Market by Product, Application, Technology & Region - Forecast 2022 – 2032

Antimicrobial Wipes Market Trends : Antimicrobial Wipes Market by Product, End User, Nature, Sales Channel & Region - Forecast 2022 – 2030

Small Kitchen Appliances Market Analysis : Small Kitchen Appliances Market by Product, Price Range, Sales Channel & Region - Forecast 2022 – 2030

DIY Haircut Kits Market Outlook : DIY Haircut Kits Market by Product, End User, Price Range, Price Sales Channel & Region - Forecast 2022 – 2029

Bicycle Shoe Market Forecast: Bicycle Shoe Market By Product, Price Range, Consumer Orientation, Sales Channel & Region - Forecast 2022-2029

Male Colour Cosmetics Market Sales: Male Colour Cosmetics Market by Product, End User, Nature, Price Range, Sales Channel & Region - Forecast 2022 – 2029

Oven Market Value: Oven Market by Product Type, Application, Sales Channel & Region - Forecast 2022 – 2032

Hospitality Staffing Market Demand: Hospitality Staffing Market by Work Position Type, Work, End-use Industry & Region - Forecast 2022 – 2032

Women's Socks Market Type : Women’s Socks Market by Fibre Type, Distribution Channel Type & Region - Forecast 2022 – 2032

Download complimentary copy of FMI’s white paper on ‘Intelligent Packaging for Circular Economy’ in collaboration with Graham Packaging and Avery Dennison

About Us

Future Market Insights (ESOMAR certified market research organization and a member of Greater New York Chamber of Commerce) provides in-depth insights into governing factors elevating the demand in the market. It discloses opportunities that will favor the market growth in various segments on the basis of Source, Application, Sales Channel and End Use over the next 8 years.

Contact:

Future Market Insights Inc.

Christiana Corporate,

200 Continental Drive,

Suite 401, Newark,

Delaware - 19713, USA

T: +1-845-579-5705

Report:https://www.futuremarketinsights.com/reports/male-colour-cosmetics-market

For Sales Enquiries: sales@futuremarketinsights.com

Browse all Reports: https://www.futuremarketinsights.com/reports

LinkedIn| Twitter| Blogs",,[],"['Future Market Insights Global', 'Consulting Pvt. Ltd.']"
Cosmetics Business Live 2022 launches delegate registration,"15-Jun-2022

The much-anticipated event will take place on 17-18 October and includes a wealth of big industry names

REGISTER HERE

Cosmetics Business Live will provide an in-person platform for retailers, brands, manufacturers and suppliers to come together to find new products, discover the latest trends, share knowledge and generate quality contacts.

The event, taking place at the Business Design Centre in London, will bring together the B2B supply chain of making, buying, distributing and selling beauty products under one roof.

The content-lead exhibition will focus around 4 key verticals of the industry: ingredients, packaging, regulatory and marketing.

Delegates can expect speakers from the likes of Kennedys, Mymicrobiome, Aprinnova and Ecolab who will be discussing the latest insights, developments and concepts in the beauty and personal care industry.

Join big industry names

A growing list of exhibitors such as eBay, MSL, Soil Association, Made in Britain and Lycored will be joiningthroughout the week to provide exclusive insights for delegates.

Want to join the list of leading suppliers and manufacturers?

Get in contact with our team to discuss our exhibition packages. Contact Trystan Hurley on trystanh@hpcimedia.com

The full list of exhibitors can be found here.

Register for your ticket now!

The event will put delegates ahead of the curve through endless cutting edge content provided throughout the comprehensive agenda.

Delegate tickets include exclusive access to Cosmetics Business Live exhibition and speaker presentations.

Register for your ticket here.

To be kept up to date on the ever-growing agenda, sign up to the free Cosmetics Business newsletter here.

For more information, contact the events team on +44 (0)207 193 6701 or email events@hpcimedia.com

Featured Companies

See also",,[],[]
Beauty brand Renee Cosmetics aims to cross Rs500 crore annual revenue by 2024,"Beauty brand Renee Cosmetics , said it will cross Rs200 crore in annual revenue in the current fiscal, more than doubling sales from a year ago helped by newer products and distribution expansion.The brand that started operations after the pandemic in 2020, has sales of over 2 million units and reached over 50 million consumers over the past two years.“Renee is one of the fastest D2C brands in India to reach Rs100 crore ARR ((annual recurring revenue) mark within 20 months. We want to continue working assiduously and aim to become a Rs 500 crore revenue company by 2024,"" said Ashutosh Valani, co-founder of Renee Cosmetics.At present, Renee’s network has more than 100 distributors across India with products reaching 500 manned stores and 2500 general stores. The company said it is exporting its products to the UAE and has plans to expand its footprint to other countries.The Indian cosmetics and toiletries market is at an inflection point, experts said. The market expanded by 5.6% CAGR during 2015-20, with value sales rising from $11.1 billion in 2015 to $14.6 billion in 2020 when COVID-19 arrived, according to GlobalData. With the pandemic restrictions easing gradually, the researcher forecasts the cosmetics and toiletries sales in India to grow by 7.2% CAGR over 2020-25 to reach $20.6 billion. And e-retailing gained popularity during the COVID-19 pandemic and is projected to outpace all other channels, expanding by 13.8% CAGR over 2020-26.The direct-to-consumer (D2C) makeup firm raised $10 million in Series A led by Mensa brands earlier this year. “We aim to disrupt the makeup industry with our unique products and change the way people look at makeup and take its artistry to the next level,"" added Valani.",,[],[]
Halo comes to Fall Guys with new Spartan Showdown cosmetics,"You better believe it - Halo is officially coming to Fall Guys via a range of new cosmetics, including outfits for the Master Chief, a Grunt, a Brute, and a pink Mark IV helmet. If any of these sound at all appealing to you, then it’s only a short wait until June 30, at which point they’re up for grabs.

You’ll have to be quick though, as you’ll only have until July 4 to pick it up in what’s been dubbed the Spartan Showdown. This event also brings with it some limited-time events and legendary items for elite Fall Guys players to go out and collect.

You absolutely need to check this trailer out, trust us!

What’s best about all this is the form in which this announcement came into the world - a recreation of the legendary Halo 3 Believe trailer from all the way back in 2009. This means slow motion shots of explosions (although with colourful pinks and purples rather than any actual danger), beans playing dead, and of course, the final shot of a Brute holding the Master Chief in one hand and a crown in the other.

It’s all quite funny, as is the norm with Fall Guys which is of course developed by a team who are more than happy to approach marketing their family friendly battle royale with overflowing levelity.

Nonetheless, for those who want to finish the fight on a whole new front, you can pick up Fall Guys for free starting June 21 on PC, PlayStation, Xbox, and the Nintendo Switch. Add on top of that cross play and cross progression and there are no barriers to jumping in (unless it’s just not your cup of tea, obviously).",,[],"['Stephany Nunneley', 'Sherif Saed', 'Emad Ahmed']"
Smashbox Brought Back These Popular Becca Cosmetics Products,"Becca Under Eye Brightening Corrector Reviews

An Ulta shopper said, ""Best under eye color corrector I've tried. Blends beautifully and provides great coverage. I'm a fan and will definitely be using this product on a daily basis.""

A Becca fan shared, ""Have been using this for yeaarrsss. was devastated when I heard Becca was shutting down. Wasn't able to stock up. Then I saw Smashbox owns this product! Yay! Never stop selling this. perfect for no makeup days with a few dabs under the eyes. Amazing under concealer on more glam days as a color corrector. Doesn't pertain to me but love that they added more shades too!""

Someone else shared, ""Game changer! I'm 55 and this product is perfect to conceal some wisdom lines and color imperfections under my eyes and over my upper lip!!""

Another person raved, ""I will probably repurchase this forever. I love the consistency of this. It's so smooth and brightening. I am a tired mom of a 1.5 year old girl. Emphasis on TIRED. This stuff really lifts my under eyes. It's also very forgiving and easy to just tap back out when it starts to crease which is inevitable. I love it!""

A fan of the color corrector declared, ""Best stuff around. I have wasted so much money trying to find something that works. Every cream, concealer and serum out there. I am 46 with awful genetics that keep the dark circles under my eyes. I used this and my daughter, her bf and my husband were like it's an extremely noticeable difference that looked natural and brighter. I will buy again! A little under my eye and a few pats with my ring finger and I don't have to wear anything else. I love it thank you.""

A person shared, ""I use this product daily and it does help brighten my under-eye area and diminish the appearance of my dark circles. The product absorbs well into my skin and looks very natural when worn alone. I also do a light concealer over top of it and the two products together don't look caked on. I definitely recommend this product and will buy it again!""

""I just got this and I'm obsessed. I hate under eye concealer but I have purple/blue under my eyes and like to cover it. I'm all about a natural look and This is just perfect, it doesn't look like makeup but makes me look awake and rejuvenated. I found it super easy to blend on top of my eye cream (Clinique rich). I might even get some for my husband,"" an Ulta shopper reviewed.

While you're shopping, check out this washcloth that removes waterproof makeup with zero soap and no scrubbing. It has 9,300+ 5-star reviews and it's a total game-changer.",,[],[]
This $26 Concealer Is Innovation at Its Finest,"As POPSUGAR editors, we independently select and write about stuff we love and think you'll like too. If you buy a product we have recommended, we may receive affiliate commission, which in turn supports our work.

The Dominique Cosmetics Wide Awake Full Coverage Concealer offers medium to full coverage in 17 shades.

The formula comes with a cooling doe-tip applicator to depuff the undereye area.

One editor tried the concealer and was impressed with the results.

Concealers can be pretty hit or miss for me. I have dark undereye circles, but the issue stems from a lack of volume, not necessarily hyperpigmentation. Therefore, my journey to brighter, more ""wide-awake""-looking eyes means I'm often searching for a product that addresses both skin concerns, which is surprisingly hard to find.

Because of this fact, I'm willing to try any and every concealer on the market, no matter the formula — cream, liquid, mousse — or price. So when influencer Mikayla Nogueira raved about a concealer that had a metal doe-foot applicator tip, I immediately knew I had to try it.

The concealer in question is the Dominique Cosmetics Wide Awake Full Coverage Concealer ($26). It is available in 17 shades, which could definitely use expanding, but promises a radiant finish and medium to full coverage. As someone who loves the dewy-skin look, I couldn't open the packaging fast enough.

The concealer came housed in a normal plastic tube, but as Nogueira mentioned, the applicator is the star of the show. Like others on the market, it has a doe-foot shape. Unlike others on the market, it's not your normal fuzzy-tip applicator that absorbs product before you smear it on. Instead, it has a metal tip that feels cold to the touch, and I could see that the product was sitting on the applicator, which means you won't waste any product during application.

I chose the colors Honey Roast and Chai Latte and started with the former under my entire eye area. The applicator felt fantastic against my skin — if it wasn't for the simple fact that I would be applying entirely too much product to my face, I would have just sat there rubbing concealer under my eyes for minutes. (This probably would have been OK had I not doused it with pigment, since cold compresses can help depuff the skin, but alas.) Still, I reeled it in and applied the amount of coverage I would with any other concealer. Application took some getting used to, and I had to use both sides of the applicator to get as much product as I needed, but other than for a slightly awkward turn of my hand, the concealer applied smoothly and evenly.

Blending it out, I did get that medium coverage that the brand mentioned, but I knew I wanted the area to look brighter, so I also went in with Chai Latte to build up the coverage. This combination gave me the look I was going for and also covered up the darkness without looking cakey or piled on. While the concealer didn't address the lack of volume under my eyes, the cooling effect of the metal applicator did make them look temporarily refreshed. If you suffer from the opposite problem (puffy undereyes), then the cooling applicator will do wonders for you when applying your makeup.

I also noticed some very light texture appear after the formula dried down. While this isn't a dealbreaker for me, if you experience fine lines or slight texture of the skin under your eyes, you may want to set it with a lightweight blurring powder.

Did this concealer change my life? No, but it got the job done and my undereyes looked brighter, which in turn made me look well-rested. Now if I ever have a hard time falling asleep, I'll know exactly which product to reach for in the morning.

Rating:



",,[],['Ariel Baker']
Natura's CEO steps down in shakeup at Brazil cosmetic maker,"The logo of Natura is picture at the company headquarters in Sao Paulo, Brazil December 19, 2019. REUTERS/Amanda Perobelli/File Photo

SAO PAULO, June 15 (Reuters) - Brazil's Natura & Co Holding SA (NTCO3.SA) said on Wednesday that Chief Executive and Executive Chairman Roberto Marques was stepping down in an organizational shakeup, handing over the reins of the cosmetics maker to board member Fabio Barbosa.

Natura, which aims to simplify its structure, is also eliminating its sustainable growth officer and chief transformation officer.

Natura shares jumped 7.8% after the announcement, making it the top gainer on Brazil's Bovespa stock index (.BVSP), which rose 1.2%.

Register now for FREE unlimited access to Reuters.com Register

It is ""time to evolve,"" said the owner of Natura, Avon, Aesop and The Body Shop brands, with plans to increase the accountability of its business units after years of expansion fueled by high-profile acquisitions.

Barbosa said Natura's main priority with the move was not cutting costs, although calling it ""absolutely important,"" but making its organizations leaner and able to be more agile.

""We also have a focus on the revenue side. ... We know that we have to improve margins, increase revenues and continue to pay attention to costs,"" he told a conference call .

Barbosa served as the chief executive of Santander Brasil from 2008 to 2011, also leading Banco Real for more than a decade and publisher Grupo Abril between 2011 and 2015.

Marques will remain as a board member to help with his succession, but plans to retire at the end of 2022.

Analysts at JPMorgan said the move potentially gives higher autonomy for Natura's business units to execute their plans to deliver the firm's targets.

""In the context of a challenging operating environment and limited visibility on growth and profitability trends, we believe the market is likely to welcome the changes,"" they said.

Natura posted a bigger-than-expected net loss amid surging costs and tepid sales in the first quarter, pushing back by a year some financial targets including net revenue.

Register now for FREE unlimited access to Reuters.com Register

Reporting by Gabriel Araujo; Additional reporting by Paula Arend Laier; Editing by Lisa Shumaker and Edmund Blair

Our Standards: The Thomson Reuters Trust Principles.",,[],['Gabriel Araujo']
Wrapping it up: Catch up on the world of cosmetics packaging,"Packaging is what turns a formula into a product, and it's what's left over the product is gone. That means cosmetic packaging is under the microscope as brands and suppliers try to become more sustainable.

CosmeticsDesign has investigated sustainability accreditation, packaging types and brand innovation. While packaging suppliers meet for an industry trade show, catch up on what's happening in the world of cosmetic packaging.

rePurpose wants beauty brands to think about plastic beyond the recycling bin

The beauty industry is estimated to generate 120 billion units of plastic packaging waste annually. © Getty Images - yuliash

Plastic packaging is important in the beauty industry and rePurpose Global wants to create impactful accountability for plastic waste made by personal care brands.

According to rePurpose, 91% of plastic waste doesn’t make it to recycling and ends up in the environment. Svanika Balasubramanian, CEO and co-founder of rePurpose Global, told CosmeticsDesign a major contributor to plastic in the environment is where the plastic in the recycling bin ends up.

Balasubramanian said rePurpose found that roughly 75% of plastic recycled in countries like the US, Canada, the UK and Ireland ends up in countries like India, Indonesia and Vietnam.

“These countries, unfortunately, don't have the necessary infrastructure to deal with their own domestic waste, let alone be this one giant garbage dump for the rest of the world,”​ Balasubramanian said. “That's why we're seeing so much of the waste leaking into nature.”​

RePurpose Global acts as a private industry partner to address the end of the plastic recycling supply chain and works with brands to become “plastic neutral”​ certified. Because plastic is still an important packaging material in CBG, around half of the companies rePurpose works with are personal care brands.

Read more...​

Sustainable packaging roundup: What to keep in mind when choosing non-virgin plastic packaging

Choosing sustainable packaging isn't as simple as switching from virgin plastic to glass. © Getty Images - photoguns

More sustainable packaging is on the cosmetics industry agenda, and there are a number of options on the market today.

What qualifies as sustainable varies from market to market, company to company and consumer to consumer, but one of the main goals is to decrease or remove virgin plastic in a beauty brand's packaging.

But, when moving away from virgin plastic packaging, brands have to consider material performance, ease of decoration, transportation costs and logistics, as well as the social and environmental impacts that other materials may have.

Packaging suppliers and sustainability consultants advise companies to do a holistic analysis of how they need packaging to perform, how the benefits and drawbacks of a given supply chain fit into their sustainability goals and what else can be done to improve packaging sustainability, like changing product format or reducing the amount of packaging used.

Below are stories on the four predominant types of non-virgin plastic integrated into the market today.

Read more...​

Refill revolution: Trestique brings refillable, one-stop makeup routine to promote repeat buys

Consumers are less likely to purchase full makeup routines from a single brand, unlike in skin care, but Trestique believes they can change that with strategic plans. © Trestique

Customer loyalty in color cosmetics can be elusive, but a makeup brand built around crayons and sticks has converted to a refillable model to give consumers a reason to come back.

Color cosmetics brand Trestique, based out of New York City, started six years ago built on the concept of a full makeup routine of stick and crayon-format products. Co-founder and co-CEO Jack Bensason said the idea behind the brand was to create a simple, single-brand makeup routine.

While it is common in the skin care market for consumers to purchase a whole routine under a single brand umbrella, Bensason said consumers were significantly less likely to do the same thing with makeup because retailers and brands were more likely to advertise their newest or trendiest product.

“Unlike many other brands, we’re not built around one hero product,” Bensason said. “In makeup, the customer behavior is very different because … the brand never gave them a reason to buy all the products under one roof. Our hero product is basically the makeup routine.”

In order to make that routine successful, Trestique developed a customizable makeup routine, based on what products a consumer wanted and their coloring, which can fit entirely in one small bag.

Read more...​

Prill power: P&G files patent for dissolvable hair care pouches

The personal care major filed an international patent for water-soluble pouches containing dissolvable hair care pellets for a user-friendly, sustainable alternative to bottled and solid formats.

Article by Kacey Culliney​

Personal care major Procter & Gamble (P&G) has developed water-soluble pouches containing dissolvable hair care pellets for a user-friendly, sustainable alternative to existing bottled and solid formats.

Writing in its international patent, P&G said the water-soluble pouches were made from fibrous sheets and could contain one or several types of personal care pellets/prills that dissolved into a creamy product when in contact with hot water. Designed to fit in the palm of a user’s hand, the pouches had been designed to contain prill blends for shampooing and/or conditioning of the hair.

P&G said the invention offered a sustainable alternative to liquid shampoo and conditioner products that contained “significant bulk” with extra water, preservatives and stabilisers, but also an alternative to solid format alternatives that were often associated with poor usability. Many bars or prills, the company said, did not dissolve fast enough on impact with water and others melted during shipping or storage, ahead of reaching the consumer.

“As such, there remains a need for an easy to use, solid personal care article that has a melt point greater than 45°C and rapidly disintegrates into a smooth, creamy, homogenous product upon hydration,”​ the company wrote in its patent filing.

Read more...​

Cosmetics brands performing well in shift to recycled plastic, require wholistic goals for real results

Plastic poses physical and chemical pollution challenges across the globe, and consumer brands make up a large portion of plastic which end up in the landfill. © Getty Images - ShantiHesse

Environmental solutions platform Ubuntoo recently released their 2021 report on corporate plastic packaging goals, with three cosmetics companies or cosmetics-owning multinationals among the best performing.

CosmeticsDesign spoke with Ubuntoo​ Operations Manager Haley Randolph about what the report​ means for the personal care industry.

Can you tell me a little bit about what this report found in regards to plastic packaging?​

We found roughly four categories of goals. Companies were largely creating goals around recycled content, virgin plastic production, collection and recovery, and then recyclability. A lot of companies had recyclability goals that were largely near the Ellen MacArthur Foundation goals​. The highest-scoring companies in our report had maybe three or four of those goals.

What did you find with cosmetics and personal care specifically in mind?​

Two of our top 10 companies were cosmetic companies, so the cosmetic category did relatively well. They are, in our report, classified as high plastic users, and we noticed that high plastic users tended to have higher scores than others, maybe because of the pressure to do so, or maybe because they actually want to make a change.

Read more...​",,[],['Ravyn Cullor']
Sweet dreams: India’s SUGAR Cosmetics edges closer to ambition of going public with latest mega funding,"The Indian beauty brand has raised U$50m in its series D funding round led by L Catterton with participation from existing investors A91 Partners, Elevation Capital, and India Quotient, it revealed on May 31.

Speaking to CosmeticsDesign-Asia​, co-founder and CEO Vineeta Singh, said this latest successful round of funding was helping the firm further its ambitions to become one of the most successful homegrown beauty brands.

“While this journey of making SUGAR as one of the top three make-up brands in India has been phenomenal, I do envision employing more than 10,000 women and a public listing. Getting to that point will be a challenge but we never shied away from aiming higher and dreaming big.”​

The latest injection of funding will help to drive the brand’s growth plans forward. One of its priorities is to further strengthen its retail footprint.

“We also intend to go stronger on our omnichannel approach by simultaneously growing our distribution channels in India and beyond, along with creating an even stronger base on our D2C platforms.”​

SUGAR made its offline debut in 2017, two years after it launched online. Since then, the company has expanded its retail footprint and now has over 35,000 retail touchpoints in over 500 cities.

Despite the challenges that came with the COVID-19 pandemic, the beauty brand forged ahead with its retail expansion plans, launching over 60 stores in March 2020 along. Recently in May, the company celebrated its 100th​ brand-owned store.

Tapping on hybrid trend

In addition, the brand is working to reinforce its product portfolio. At the moment, it is working to capitalise on the trend for more multifunctional, ‘hybrid’ products.

“In recent days, hybrid beauty products have gained momentum as consumers become more conscious of the ingredients in their make-up and demand more from each product. Additionally, the rise of minimalism beauty trends has accelerated this growth.”​

The company has launched new products to cater to this trend, including a primer with skin-plumping ingredients and a skin illuminating sunscreen.

“The beauty industry is ever-evolving and digitisation in the past years has accelerated its growth and ever-evolving trends. SUGAR Cosmetics has always kept the consumer at the core of every decision we make, and our products are developed to cater to their needs,” ​said Singh.

“We look forward to expanding in this hybrid range based on consumer feedback. Keeping our audience in mind, we are also looking forward to tapping into different categories of the beauty industry.”​

Finally, the brand also intends to strengthen its bond with its consumer base and continue building a community.

“We will be focusing on creating solid content to keep educating and engaging our SUGAR community across all platforms – digital and otherwise. We will also be strategically collaborating with like-minded personalities, IPs, and events,”​ said Singh.",,[],['Amanda Lim']
Patent Pick: Unilever Standardizes Pollution Protection Factor for Cosmetics,"There remains an unmet need for a robust and reliable method to standardize the pollution protection factor measurement of any composition for use as a tool to assess/grade cosmetics based on their efficacy.

According to Unilever inventors, while a variety of test methods has been developed to measure the efficacy of anti-pollution cosmetics and cosmetic ingredients, there is no standardized method for this assessment. As such, the company has patented a method to determine the pollution protection factor (PPF) of products.

See related: Wool Powder and Pigments for Pollution Protection, A Proposal

Market Need

As the patent explains, pollutants including particulate matter, black carbon, ground-level ozone and oxides of carbon, nitrogen and sulfur can adversely affect human skin, causing premature aging, hyperpigmentation, the formation of rashes and inflammation, etc. While various cosmetic compositions claim to prevent, inhibit or restrict the particulate pollutants from contacting skin, it is important to be able to substantiate such claims with evidence.

In response, manufacturing companies and academic researchers have developed methods of testing/analyzing or verifying the efficacy of such compositions. However, there remains an unmet need for a robust and reliable method to standardize the PPF measurement of any composition for use as a tool to assess/grade cosmetics based on their efficacy. The present invention addresses this need.

See also: Expert Opinions; Exposome Protection

Pollution Protection Factor of Cosmetic Compositions

European Patent EP3946005

Publication date: June 8, 2022

Assignee: Unilever IP Holdings B V (NL) and Unilever Global IP LTD (GB)

Disclosed here is a method to determine the PPF of a cosmetic composition, comprising:

a) A step of testing, by any known test method, the ability (α) of the cosmetic composition to render ineffective at least one type of pollutant present on the skin, and expressing it on a scale of 0 to 1, where (1 - α) indicates corresponding potential residual damage to the skin; and wherein the composition includes at least one ingredient known to render ineffective said pollutant and is an anti-inflammatory or antioxidant;

b) A step of testing, by any known test method, the ability (β) of the cosmetic composition to inhibit the contact of at least one type of pollutant with skin and expressing it also on a scale of 0 to 1, where (1 - β) indicates corresponding potential residual damage to the skin; and wherein the composition includes at least one ingredient known to inhibit the contact of at least one type of pollutant with skin and is a sunscreen, a barrier enhancer or a polymer; and

c) A step of testing, by any known test method, the ability (γ) of the cosmetic composition to remove at least one type of pollutant present on the skin, expressing it also on a scale of 0 to 1, where (1 - γ) indicates corresponding potential residual damage to the skin, and calculating the pollution protection factor by the equation F:

PPF = −log1−α×1−β×1−γ0.047

Additional details are provided in the full patent disclosure.

See archived: [video] Understanding Adhesion of Pollution Particles to Skin





Patent accessed on June 14, 2022.",,[],['Rachel Grabenhofer']
