title,text,summary,keywords,authors
Data driven methods to boost microalgae production and CO2 capture,"Microalgae are a promising feedstock for a large number of products such as fuel, food, and materials. At the same time, algae are able to fix large amounts of CO2 that they use for growth. Approximately 50% of the algae biomass is carbon, and as such, microalgae hold great potential to support efforts to tackle climate change. However, large-scale algae farming faces technical challenges that hinder widespread, economically successful applications. VTT is coordinating a two-year research project involving the University of Jyväskylä, Neste, and seven Finnish SMEs, jointly addressing some of the bottlenecks in large-scale algal cultivation.



Project ROBA – Robust Algae Systems, funded by Business Finland, aims to tackle hurdles to create economically feasible algae processes through a combination of modeling, advanced measurement technology, bioprocess engineering, machine learning, and synthetic biology.

“Microalgae are one of the potential renewable and scalable future raw materials that Neste is developing, with the aim to expand our renewable raw material pool to support the future growth of renewables production. We are also looking for all possible solutions to reduce emissions in order to meet our ambitious goal of carbon-neutral production by 2035. Activities in the ROBA project will contribute to these targets by focusing on a concept for refinery CO2 capture with microalgae and by developing monitoring methods that could be utilized in large-scale algae cultivation,” explains Jason Michael Blake, Vice President of Innovation, Business Platform Aviation Feedstock, at Neste.

One bottleneck in algae cultivations to be addressed is the monitoring of contamination, which currently is a challenge in large-scale processes and can lead to the loss of entire cultures. In ROBA, a series of optical and other online methods will be explored. The measurement technologies to be developed in the project will be applicable also to other biotechnological processes.

“Industrial biotechnology is becoming more and more an important part of sustainable industrial practices. Our aim is to develop intensification methods for large-scale algal cultivation. Innovative measurement and monitoring technologies will help us move towards efficient and economically feasible production processes,” says Mervi Toivari, Principal Scientist at VTT Technical Research Center of Finland.

Machine learning promises to take process monitoring even one step further by combining various information received from the process into a more complete picture.

“This is a new opening to develop a novel on-site observer and computational methods for the needs of microalgae biotechnology. The Spectral Imaging Laboratory at the University of Jyväskylä focuses on developing a non-invasive monitoring method based on hyperspectral imager technology. Monitoring the growth and product accumulation of microalgae and detecting contamination are the key areas for the development,” says Pauliina Salmi, Postdoctoral Researcher from the University of Jyväskylä.

Source: vttresearch.com",,[],[]
Microalgae protein company Brevel raises $8M in a seed funding round,"Brevel recently announced it has raised $8.4M in a seed funding round. The microalgae-based alternative protein company’s investors include FoodHack, Good Startup VC, Tet Ventures and Nevateam Ventures among others from the food tech industry. The round also included significant funding from the EU’s Horizon2020 program and Israel’s Innovation Authority in the form of non-dilutive grants.

Yonatan Golan, CEO and co-founder of Brevel, told NutraIngredients-USA​ that the funding will be utilized for the construction and operation of the company’s first commercial facility, which is slated to be up and running in the next few months.

“We are now working on closing the first contracts and will be in products on shelves by the end of the year. Additionally, the funds will be used for improving the value we can provide to our partners with an improved product and scaling Brevel’s proprietary technology and enhancing R&D capabilities,”​ Golan said.

Tech

According to Golan, who started the company in 2017 with his two brothers, microalgae is typically produced either by photosynthesis in ponds or closed reactors which are very labor intensive, suffer from contaminations and produce at low yields and high costs. The alternative is to use fermentation tanks where sugar is added to the process and then the microalgae grow and significantly lower costs and higher yields. However, this is done today in the dark. With the absence of light, many of the ingredients, functionalities and benefits of microalgae are lost in the process.

“We are the first company globally who has been able to combine sugar based fermentation and light in a single process. We produce affordable microalgae at very high yields which are rich with all of the functionalities, ingredients and nutrients that are only produced in the presence of light. We already operate at commercial scale reactors and are now building our first commercial factory in Israel.”​

Brevel’s technology is based on high-tech indoor, sterile and fully automated systems which are illuminated from within at high intensity. The novel process enables the production of microalgae at a cost reduction of more than 90% and includes nutrient rich ingredients and functionalities that are only produced in the presence of light. Now with the closing of their seed funding round, conditions are ripe for the next stage of mass production.

Applications

“Brevel's protein has a full amino acid profile and very high digestibility scores,” ​said Golan. “In addition, Brevel's protein has a very mild flavor and color which makes it very suitable for food applications where flavor masking is not an option.”​

The alt-protein comes as a dry powder which can be added directly to formulations. Brevel’s partners add it in different forms - either directly as powder, or apply processes such as homogenization, or secondary fermentation to increase its solubility, extract additional flavors and more.

In terms of functionality, Golan said that they’re currently trying to be as inert as possible by increasing the nutritional profile of products without changing taste, color, texture or cost for the end consumer. “One of our piloting partners described it as a ‘ghost protein’–it increases protein content without you noticing it is there.”​

US engagement

“Brevel’s protein solves immediate challenges in plant-based dairy and egg products that lack a valuable nutritional profile due to the need for very mildly flavored protein sources. Due to the high nutritional values and sustainable production in the mid and long terms, Brevel is aiming to become the #1 choice for plant-based protein worldwide, including the US which is a major market for plant-based products,”​ Golan said.",,[],['Danielle Masterson']
Microalgae-based animal feeds could fill protein gap,"Why the future of protein production could be green and slimy

Algae may be the king of renewable super-plants with myriad potential applications ranging from biofuels, pharmaceuticals and biofertilizer to animal feed and human food.

Algae grow faster than conventional crops and require fewer resources — only a little sun, water and CO 2 , making it one of the most sustainable raw materials on earth. In fact, 1 kg of algae biomass can store almost 2 kg of CO 2 while releasing 1.6 kgs of oxygen.

Algae’s sustainable qualities help it stand out as a frontrunner in the alternative protein game. As more restaurants, grocery retailers and food brands implement sustainability initiatives across the supply chain, algae-derived ingredients are poised to gain popularity.

“It doesn’t require arable land, which is a huge advantage over crops,” said Michael McGoldrick, market manager Industrial BioTech/Starch, GEA. “Some species also do well in brackish or salt water, which means you aren’t fighting over the same resources as the other crops.”

However, production costs are a big challenge for today’s algae producers. That’s why investment in processing technologies are ramping up while efforts are underway to expand the algae market in the future.

Filling the protein gap — with plants

By the middle of this century, we’ll need more than an additional 250 million tons of protein to feed the world’s projected population. To bridge the protein gap, researchers and processing equipment suppliers are eyeing single-cell organisms — the kind of algae that contain up to 70% protein — for solutions.

GEA is one of several partners from the EU’s scientific and business community to form the Sustainable Algae Biorefinery for Agriculture and Aquaculture (SABANA) project in 2016 to focus on refining algae to support sustainable food production.

McGoldrick identified several factors driving interest and investment in the development of plant-based alternative proteins.

“The market is looking for a functional, complete protein as customers have shown a high interest in plant-based alternatives due to environmental and health beliefs,” McGoldrick said. “There are very few complete plant proteins with the full amino acid profile that humans need, so the easiest way to get around that is to blend various plant proteins, including microalgae.”

Microalgae, or phytoplankton, can provide valuable proteins, pigments and unsaturated fatty acids, along with loads of untapped opportunity. Bühler Group is another company actively engaging with the industry and academia on novel technologies to unlock the full potential of single-celled microorganisms for food and feed production.

Bühler Group’s experts estimate 200,000 to 500,000 microalgae species exist in nature, yet only about 20 species are being commercially explored today. Commercial production of more algae species could help replace a significant amount conventional crop-based animal feed protein demand in the coming decades.

Microalgae market expansion hurdles

One of the biggest challenges microalgae production faces is cost-related – partly because the algal biomass must be processed to separate it from the water it was grown in. And accessing the nutritional benefits of some microalgae relies on opening the cell wall to allow for optimal digestibility.

Getting to the highest added value, functional ingredients from microalgae often require a cell disruption stage. Bühler offers bead milling technology as flexible, energy-efficient solution to open the microalgae wall in suspension. The design allows users to easily validate and optimize their process at lab scale and subsequently scale to industrial capacities, and may one day be key to affordably scaling microalgae production worldwide.

According to McGoldrick, centrifuges are another economical means to efficiently process microalgae due to its biological makeup. This method uses less energy than ceramic membrane filtration and is a better alternative to traditional rotary vacuum filters because cell size can cause binding or blockages.

Companies like GEA and Bühler are actively researching and supplying novel processing systems that don’t compromise the nutritional value of each microalgae cell, but still, more processing innovations are needed to bring microalgae ingredients to the mainstream.

Looking ahead 15 to 20 years, where does McGoldrick predict the research on algae processing and nutrition will take us?

“As the costs of production come down, more and more possibilities open up,” he said. “With GMO algae, there are very few limits — once the economics are figured out.”

Quick algae facts : Plant-based superfood

Size matters. There are two types of algae: macro and micro. Both are food sources that release oxygen into the atmosphere during photosynthesis, but macroalgae is larger, known as seaweed, and is an excellent marine filter. Meanwhile microalgae are microscopic (between 2-10 micrometers), single-celled organisms — commonly known as phytoplankton.

There are two types of algae: macro and micro. Both are food sources that release oxygen into the atmosphere during photosynthesis, but macroalgae is larger, known as seaweed, and is an excellent marine filter. Meanwhile microalgae are microscopic (between 2-10 micrometers), single-celled organisms — commonly known as phytoplankton. Versatile and colorful. Algae can thrive in saltwater or freshwater and are classified not only by size, but also by pigment: green, brown or red.

Algae can thrive in saltwater or freshwater and are classified not only by size, but also by pigment: green, brown or red. Unconventional crop. Algae have no roots, stems or leaves. Cultivation can take place on lands not suitable for food crops, so they do not compete with food production.

Algae have no roots, stems or leaves. Cultivation can take place on lands not suitable for food crops, so they do not compete with food production. Sewage, sugar or sun? Microalgae can be cultivated in photo-bioreactors (PBRs) or open ponds and fed on wastewater — including sewage — or cultivated by heterotrophic fermentation (meaning the algae is fed on sugars instead of conducting photosynthesis from sunlight).

Microalgae can be cultivated in photo-bioreactors (PBRs) or open ponds and fed on wastewater — including sewage — or cultivated by heterotrophic fermentation (meaning the algae is fed on sugars instead of conducting photosynthesis from sunlight). Enormous growth potential. There are an estimated 200,000 to 500,000 microalgae species and only around 20 microalgae species are commercially used in animal and human nutrition.

World’s top 10 single-cell organism investors

Worldwide investment in microganisms with photosynthetic capabilities to produce oil is on the rise, according to Cleantech Group’s i3. i3’s market research powered the 2021 50 To Watch report, the third annual list of early-stage innovators taking action on the climate crisis.

i3’s algae data revealed the world’s top 10 single-cell investments alone reached nearly US$75 million over the past 24 months. Here are the world’s leading companies poised to make moves in the emergent algae ingredient market:",,[],[]
Thai Union embraces microalgae-based ingredients with new investment,"Thai Union joins other industry-leading financial partners to accelerate the expansion of Mara’s proven portfolio of micro-algal products and unique innovation. After investing CAD $10 million as part of Mara's CAD $39.5 million growth funding round, Thai Union will appoint one representative to join Mara’s board of directors. Mara, based in Nova Scotia, Canada, is one of the world’s leading producers of sustainably grown algae-based bio-products. Since its inception in 2012, Mara has successfully built a portfolio of micro-algal strains, some of which are processed using a clean, environmentally-friendly extraction method into high quality algal oil. The plant-based oil offers a non-GMO vegan option for DHA-rich omega-3 fatty acids for human nutrition. Mara’s ingredients are approved by multiple respected regulatory bodies, and are used by leading infant nutrition, supplement and food and beverage customers worldwide.

“As an industry leader in innovation and sustainability, we are committed to our ingredients business which valourises our co-products into natural and nutritional ingredients such as DHA-rich tuna oil,” said Thiraphong Chansiri, President and CEO of Thai Union.

“Our strategic partnership with Mara further builds on this business by creating opportunities to jointly expand our product portfolios, grow our global presence, and accelerate go-to-market initiatives. We’re excited to partner with Mara and together provide nutritious and sustainably sourced DHA omega-3 fatty acids to consumers worldwide,” Chansiri continued.

Thai Union’s commitment to sustainable nutrition aligns closely with Mara’s mission. In 2018, Thai Union started its ingredients business to transform its co-products from fish processing into natural ingredients for human nutrition. It creates highest quality tuna oil by processing raw tuna heads through a low temperature extraction method that preserves the oil’s natural functionality. Thai Union’s tuna oil contains the highest DHA omega-3 fatty acids content compared to other fish sources.

Together with Mara, Thai Union is actively working to create more choices in the market for omega-3 fatty acids and expanding the reach of this critical nutritional element, from both algal and tuna-based sources. The investment creates opportunities for both companies to accelerate growth through cooperation in go-to-market, research and development and operations. Mara is exploring, for example, refining its crude algal oil at Thai Union’s state-of-the-art oil refinery in Rostock, northern Germany. Thai Union has also already been cooperating with Mara in Thai Union’s Omega-3 Center of Excellence at their headquarters in Samut Sakhon by performing successful trials using Mara's crude algal oil. Together, the two companies are well-positioned to serve the growing demand for omega-3-rich products.

",,[],[]
"Brevel Raises $8.4 Million to Scale Nutrition-Rich, Neutral-Flavored Microalgae Protein","Move over pea protein and soy, there’s a new alt-protein in town made from microalgae, and it’s cheaper and more sustainable. Brevel, the Israeli company behind this alternative to the omnipresent ingredients in everything from plant-based burgers to dairy-free cheese, aims to become the number one choice for plant-based protein worldwide.

Brevel’s vision now becomes a business reality with the announcement of $8.4 million in a seed funding round. The funding will be utilized to build a commercial pilot factory which will serve as the basis for scaling the company’s proprietary technology and enhancing its research and development capabilities. Investors include FoodHack, Good Startup VC, Tet Ventures, and Nevateam Ventures.

The fermentation of microalgae as an alt-protein has been under consideration but has not made the headlines because of its cost and issues with flavor. Brevel says it has found a solution by combining sugar-based fermentation of microalgae with a high concentration of light at industrial scales. The company says its nutritionally rich, neutral-flavored microalgae-based protein solves issues with plant-based dairy and egg products that lack a valuable nutritional profile.

In an email interview with The Spoon, Brevel CEO and Co-Founder Yonatan Golan shared some additional details.

Will the company make its own microalgae foods or sell them to other manufacturers? Have there been any sample products created yet?

Our protein comes as a dry powder which can be simply added directly to formulations. Today, our partners add it in different forms – either directly as powder, or apply some processes such as homogenization, secondary fermentation, etc. to increase its solubility, extract additional flavors, and more. This depends on their specific needs and preferences.

In terms of functionality – at the moment, for our first segment of partners, we actually try to be as inert as possible – increase the nutritional profile of products without changing taste, color, texture, or cost for the end consumer. One of our piloting partners described it as a “ghost protein” – it increases protein content without you noticing it is there. In the second stage, we will be looking to provide functionalities such as gelation, texturing, emulsification, and more, which are most suitable for fish and seafood alternatives.

We are piloting with many different food manufacturers worldwide who are very excited about our ability to increase their nutritional profile without changing taste, color, texture, or cost for the end consumer.

Later in June, we will be at the largest alternative protein conference (Future food tech) in NYC and will have an exclusive tasting room where we will showcase several of the products our partners developed with our protein – plant-based cheese with a high protein content which melts on pizza, sunny side up eggs with our protein both in the white and the yolk.

How did the company land on microalgae? From previous research?

My co-founders are my two brothers: Matan is an MD who brings the health angle (plant-based food products today have a very low nutritional value which must be solved if we want to have a healthy future), and this is a key element in our vision. The second, Ido, is a genius engineer who happens to have a vast background in microalgae and manages to invent this entirely new way of producing microalgae efficiently and at a very high quality. I am vegan both from a moral and sustainable standpoint and am enthusiastic about finding solutions to feed our growing population sustainably and ethically. I have three children who are also vegan, and I am very concerned about the future they will live in if we don’t make drastic changes. As a physicist, I view this challenge very rationally and believe that microalgae can become the ultimate solution, like many experts and companies. However, to date, no one has been able to solve the cost and quality barriers to make this vision become a reality.

This is why we decided to dedicate ourselves to working hard on this problem and have managed to break through the glass ceiling this industry has seen for too many decades.

To educate those who do not know what exactly is microalgae?

Microalgae are microscopic organisms that use photosynthesis to grow very resource efficiently. Microalgae evolved more than 2 billion years ago. For the first time in the prehistory of earth transformed most of the CO2 in our atmosphere into oxygen and enabled the development of more advanced forms of life. Even today, microalgae account for more than 50% of the oxygen production cycle daily.

Microalgae naturally contain 40%-60% protein alongside a variety of healthy ingredients.

Microalgae grow everywhere on our planet – lakes, rivers, oceans, and even deserts and the arctic. More than 500,000 different strains exist in nature, and only a small fraction have been researched. A handful is used for food, feed, cosmetics, nutraceuticals, fertilizers, and biofuel production. Brevel uses non-GMO microalgae grown in a unique breakthrough technology that enables the highest quality of sustainable protein production at cost levels comparable to pea and soy, the leading plant-based protein source today.

Move over pea protein and soy, there’s a new alt-protein in town made from microalgae, and it’s cheaper and more sustainable. Brevel, the Israeli company behind this alternative to the omnipresent ingredients in everything from plant-based burgers to dairy-free cheese, aims to become the number one choice for plant-based protein worldwide.

Brevel’s vision now becomes a business reality with the announcement of $8.4 million in a seed funding round. The funding will be utilized to build a commercial pilot factory which will serve as the basis for scaling the company’s proprietary technology and enhancing its research and development capabilities. Investors include FoodHack, Good Startup VC, Tet Ventures, and Nevateam Ventures.

The fermentation of microalgae as an alt-protein has been under consideration but has not made the headlines because of its cost and issues with flavor. Brevel says it has found a solution by combining sugar-based fermentation of microalgae with a high concentration of light at industrial scales. The company says its nutritionally rich, neutral-flavored microalgae-based protein solves issues with plant-based dairy and egg products that lack a valuable nutritional profile.

In an email interview with The Spoon, Brevel CEO and Co-Founder Yonatan Golan shared some additional details.

Will the company make its own microalgae foods or sell them to other manufacturers? Have there been any sample products created yet?

Our protein comes as a dry powder which can be simply added directly to formulations. Today, our partners add it in different forms – either directly as powder, or apply some processes such as homogenization, secondary fermentation, etc. to increase its solubility, extract additional flavors, and more. This depends on their specific needs and preferences.

In terms of functionality – at the moment, for our first segment of partners, we actually try to be as inert as possible – increase the nutritional profile of products without changing taste, color, texture, or cost for the end consumer. One of our piloting partners described it as a “ghost protein” – it increases protein content without you noticing it is there. In the second stage, we will be looking to provide functionalities such as gelation, texturing, emulsification, and more, which are most suitable for fish and seafood alternatives.

We are piloting with many different food manufacturers worldwide who are very excited about our ability to increase their nutritional profile without changing taste, color, texture, or cost for the end consumer.

Later in June, we will be at the largest alternative protein conference (Future food tech) in NYC and will have an exclusive tasting room where we will showcase several of the products our partners developed with our protein – plant-based cheese with a high protein content which melts on pizza, sunny side up eggs with our protein both in the white and the yolk.

How did the company land on microalgae? From previous research?

My co-founders are my two brothers: Matan is an MD who brings the health angle (plant-based food products today have a very low nutritional value which must be solved if we want to have a healthy future), and this is a key element in our vision. The second, Ido, is a genius engineer who happens to have a vast background in microalgae and manages to invent this entirely new way of producing microalgae efficiently and at a very high quality. I am vegan both from a moral and sustainable standpoint and am enthusiastic about finding solutions to feed our growing population sustainably and ethically. I have three children who are also vegan, and I am very concerned about the future they will live in if we don’t make drastic changes. As a physicist, I view this challenge very rationally and believe that microalgae can become the ultimate solution, like many experts and companies. However, to date, no one has been able to solve the cost and quality barriers to make this vision become a reality.

This is why we decided to dedicate ourselves to working hard on this problem and have managed to break through the glass ceiling this industry has seen for too many decades.

To educate those who do not know what exactly is microalgae?

Microalgae are microscopic organisms that use photosynthesis to grow very resource efficiently. Microalgae evolved more than 2 billion years ago. For the first time in the prehistory of earth transformed most of the CO2 in our atmosphere into oxygen and enabled the development of more advanced forms of life. Even today, microalgae account for more than 50% of the oxygen production cycle daily.

Microalgae naturally contain 40%-60% protein alongside a variety of healthy ingredients.

Microalgae grow everywhere on our planet – lakes, rivers, oceans, and even deserts and the arctic. More than 500,000 different strains exist in nature, and only a small fraction have been researched. A handful is used for food, feed, cosmetics, nutraceuticals, fertilizers, and biofuel production. Brevel uses non-GMO microalgae grown in a unique breakthrough technology that enables the highest quality of sustainable protein production at cost levels comparable to pea and soy, the leading plant-based protein source today.

Get The Spoon in Your Inbox Leave this field empty if you're human:",,[],[]
NewFish Closes $1.3M Pre-Seed Round for New Zealand Microalgae Foods,"New Zealand biotech venture NewFish has emerged from stealth mode with an oversubscribed pre-seed round of $1.3 million. NewFish ferments microalgae unique to New Zealand to create new sustainable food sources in response to the climate crisis.

The company is undertaking multiple R&D streams to explore the unique nature of New Zealand microalgae and macroalgae, with general manager and co-founder Hamish Howard stating international plans with global partnerships have already been established.

He says with many of the world’s oceans being fished at capacity, seafood has to change. Together with international and local New Zealand partners, NewFish is exploring processing microalgae into novel proteins and bioactives using precision fermentation. One of its first products is a plant-based microalgae-derived Ocean Mortadella, developed by Kiwi chef Vaughan Mabee.

“The regeneration of our food and marine systems are at the heart of NewFish, as we must change the way we think about these systems if the status quo is to change. We are reimagining seafood and human nutrition to replenish our oceans,” states Howard. “At NewFish weNewFish are driving this change through novel nutrition solutions and ingredients that focus on the huge potential of both microalgae and seaweed.”",,[],[]
State researchers extract biomaterial from microalgae for dementia treatment,"[Gettyimages Bank]

SEOUL -- South Korea's state research body has used spirulina, which is a biomass of blue-green algae, to extract a biomaterial that can significantly improve the cognitive functions of dementia patients. Related technology was transferred to a private company for commercial production.As an ecologically sound, nutrient-rich dietary supplement, spirulina is being investigated to address food security and malnutrition. It has been used as a raw material for healthy functional foods with immune and anti-inflammatory functions. Spirulina produces vitamin B6 which generates the body's chemical messengers called ""neurotransmitters.""The Korea Institute of Ocean Science and Technology (KIOST) has extracted ""SM70EE,"" the biomaterial that was found to be effective in protecting nerve cells in the brain. The biomaterial can increase cognitive abilities by up to 50 percent compared to existing extracts.In pre-clinical trials, the cognitive function of mice accumulated with dementia-related substances called ""amyloid-beta"" can be improved by about 40 to 90 percent, according to the Ministry of Oceans and Fisheries.The ministry said that 180 people aged 70 and older who regularly consumed SM70EE for three months demonstrated clear improvement in cognitive abilities such as visual memory and vocabulary by up to 50 percent, compared to those who did not consume it.""Through this study, we confirmed the efficacy of marine microalgae in improving dementia,"" Jeong Jae-gwan, a ministry official, said in a statement on May 25. The ministry said that various products using SM70EE can be released to improve cognitive functions.Dementia is a progressive disorder that causes brain cells to degenerate and die. Patients often suffer from memory decline. According to the health ministry, the number of dementia patients in South Korea is projected to reach about 3.3 million by 2060. Data from Statistics Korea, a state-run statistical information service, showed that South Korea would become the world's most aged society by 2067.",,[],['Kim Joo-Heon Reporter']
NewsBite Podcast (May 30 - Jun 3): Global microalgae market on upward curve as alternative protein companies shoot for price parity,"This week, we talk about the microalgae market, an upwards market used in health and wellness, dietary supplements, natural food colors, vegetarian products and nutraceuticals. We analyze the food corridors as the EU is wrapping its mind around how to extract 20 million metric tons of wheat out of Ukraine. Meanwhile, inflation gives no break to anyone and the worst might be yet to come. Furthermore, should food be used for biofuel or consumption?",,[],['Cns Media']
Company Invests €6.6m in Microalgae Production in Croatia,"ZAGREB, 22 May 2022 - The company called Phyox, specialised in production of microalgae, substances rich in minerals, vitamins, antioxidants and unsaturated fatty acids, has invested 6.6 million euros in a microalgae production project in the city of Novska, the Večernji List daily reported on Sunday.

The project will enable the commercial production of microalgae for the pharmaceutical industry.

The project has already gone through the stages of laboratory tests and trial production and the production of microalgae for commercial purposes is expected to start soon.

There are plans to produce 40 tonnes annually.

According to the information on the web site of this company owned by four Croatian and German partners, ""Phyox d.d. was created by combining the competences, experience and resources of its founders who after many years of technology development, decided to implement their microalgae production project in Croatia.""

""Microalgae (Phytoplankton) are microorganisms that produce oxygen (Oxygenium) through photosynthesis, which is how the name Phyox was created.""

Microalgae are with over two billion years of existence considered to be the oldest living cellular organisms on Earth.

The Večernji List daily quoted the company's senior executives Franjo Orešković and Bernd Hermann as saying that the project was well accepted by the local authorities in Novska, during the mayorship of Marin Piletić.

Therefore, the company decided to set up the project in the industrial zone of Novska, 90 kilometres east of Zagreb.

Phyox is focused on the production of microalgae suitable for use in the food, pharmaceutical and cosmetic industries.

For more, make sure to check out our dedicated business section.",,[],[]
Mewery Looks To Slash Cultivated Pork Costs With Microalgae Ingredients,"4 Mins Read

Czech foodtech startup Mewery is developing cultivated pork on microalgae scaffolding. The company claims it is the first in Europe to be doing so. Using the regenerative plant base allows for significant production cost savings, reportedly of 70 percent. Mewery is eyeing 2026 for market entry, pending E.U. regulatory approval for cell-based meat.

The startup has recently received backing from Big Ideas Ventures in an undisclosed private investment round as part of the latter’s accelerator. A subsequent open funding raise is in the planning stage to bring fresh investors on board later this year. Mewery is not rushing to market, as despite other cultivated companies claiming to be ready to sell, the Czech startup has stated that more needs to be done to improve end products.

Image by Mewery.

Meat produced in a different way

“We love meat but hate the way it’s done,” Mewery states. “That’s why we’ve decided to change that. We are a team bringing together business and science experience with one common goal – to cultivate meat without killing a single animal or harming the planet.”

Focussing on pork, Mewery stands to make a big impact on animal agriculture. It is the second most eaten meat in the world, with significant regions, including Asia and Europe, making it their first preference. The environmental impact of keeping up with worldwide demand is taking its toll, however, as are supply chain interruptions within the pig farming sector.

The global pork market is estimated to reach $258 billion by 2027. Asia remains the biggest driver, claiming more than 50 percent of total pork produced. 2022 is expected to see China produce more than 50 million metric tonnes of pig meat, compared to 47.5 million tonnes in 2021.

It is estimated that for every kilo of pork meat that is ready to eat, 6.1 kilos of carbon dioxide equivalent is released into the atmosphere. The footprint of the pork sector is causing concern, alongside other red and processed meats, particularly beef. Cultivated meat manufacturers are looking to offer conventional meat-eaters an alternative to simply switching to plant-based foods.

Image by Mewery.

Taking pigs out of the equation

Mewery has deliberately avoided beef and poultry for its initial developments. The startup states that this is due to three considerations: there is scope to be a leader within porcine cells, the scale of the pork sector globally and competitive edge. Roman Lauš, founder and CEO of Mewery claims that most other cultivated companies are looking to produce beef or chicken, leaving a gap for a pork pioneer.

In an interview with Radio Prague, Lauš indicated that he is catering for meat fans, not vegans or vegetarians. He notes that within the Czech Republic there are existing plant-based meat alternatives, which fail to deliver on taste and texture, but that he is looking to develop real, clean pork. He states that his meat will allow people to make a significant impact on the environment, without having to change their diet. He accepts that education will be vital to consumer uptake, as well as price parity to conventional meat. Mewery is targeting the latter by avoiding the use of fetal bovine serum.

“One really needs to understand that the process of cultivating meat in the lab is just another process by which cells grow. It’s not Frankenstein-meat, it’s not something completely strange – these methods have been used in pharma for many years. The way we get meat now through industrial farming to our table is not sustainable – it cannot survive. So this is one of the options – not the only one, but one – for how to make our world more sustainable and to also get protein to an ever-growing population.”

CellX pork prototype. Photo by CellX.

The cultivated pork innovators

So far, most of the cultivated pork movement has been coming from Asia. In light of food security concerns arising from the African swine fever outbreak in 2019, Asia is looking to control its pork supply more carefully. When the outbreak was at its peak, China’s domestic pig numbers were decimated, leading to increased imports. As a consequence, an openness to domestic cultivated meat developments has been observed in Chinese officials, notably President Xi.

Shanghai-based CellX first debuted cultivated pork in 2021, alongside closing a $4.3 million funding round. Skip ahead to earlier this month and the startup has secured another $10.6 million in a Series A raise. Now the best-funded cultivated meat company in the country, CellX is pressing ahead with scaling for anticipated commercial pork production.

In South Korea, Space F is making progress with its own pork development, having recently unveiled version two. It came as the startup unveiled its new beef and chicken prototypes. Like Mewery, Space F has concentrated on creating serum-free meat, to maintain ethical advances over conventional meat production.

Lead image by Mewery.",,[],['Amy Buxton']
