title,text,summary,keywords,authors
"A 'lifetime of burden': Older Black adults die from air pollution three times the rate of white adults, study finds","A 'lifetime of burden': Older Black adults die from air pollution three times the rate of white adults, study finds A new study 'shines a light on the cumulative impact of historic discriminatory policies,' that disproportionally impact communities of color.

Older Black adults are three times more likely to die of air pollution than older white adults, according to a new study.

The findings are part of a data analysis released this month by Industrial Economics, a consulting group commissioned by the Environmental Defense Fund.

Researchers analyzed Environmental Protection Agency and U.S. census data, health and mortality statistics of Medicare recipients, as well as findings from peer-reviewed studies on older adults’ exposure to air pollutants, to determine who is most at risk and by how much.

They found rates among people of color disproportionate to their share of the U.S. elder population, 65 and older. Experts said the findings underscore the inequitable, life-threatening effects of air pollution and industry placement, as well as disproportionate, widely documented long-term public health dangers of pollutants.

“This shines a light on the cumulative impact of historic discriminatory policies where a lot of large African American (or) Black populations live,” said EDF senior health scientist Ananya Roy, a professor of urban planning, social welfare and geography at the University of California, Los Angeles.

Researchers specifically studied fine particulate matter – pollutants 2.5 micrometers in size – that can be inhaled and penetrate the lungs and blood. These airborne pollutants are a complex mixture of tiny particles that can be made up of carbon, dust, acids and metals.

'Code Red' Heat: The climate emergency is sending more kids of color to the emergency room

About 670 per 100,000 older Black people died of air-pollution-related health conditions, a rate threefold that of white Americans, according to the analysis. The rate for white Americans was 210, per 100,000; older Hispanic adults had a death rate of 260; Native Americans' death rate was 200. In general, people in poverty have a 30% higher risk of death.

Black older adults made up a quarter of roughly 110,000 deaths tied to air pollution in 2015. “The burden borne by Black Americans per capita is really, really disproportionate,” said Roy, who directs UCLA's Luskin Institute on Inequality and Democracy.

Elders are vulnerable to disease. Adding environmental health risks from historic neglect, exposure to pollutants and a lack of health resources, as seen during the COVID-19 pandemic, creates a storm of concern, said Arianne Teherani, a University of California, San Francisco, School of Medicine professor.

“There is this hugely big climate gap,” Teherani said. “Environmental exposures have traditionally not received a lot of recognition and a lot of funding. And that has been an ongoing issue for decades.”

More: Climate action is critical for health equity. Community health clinics are key – and need more support.

More: In 30 years, your summer plane flight may be a little more expensive. It could also be carbon-free.

Public health experts have long known that air pollution is associated with health conditions, including cardiovascular and respiratory illnesses, and that communities of color face disproportionate exposure. Redlining, polluting industries and resulting unequal climate burdens are to blame, they said.

The EPA’s national air quality standard for fine particulate matter is 12 micrograms per cubic meter. The agency is reviewing the standard and is likely to propose an update this summer. The study estimated that lowering the standard to 10 micrograms would prevent 4,800 deaths, and a standard of 8 micrograms would prevent more than 19,000 deaths.

“The results of this study really show a lifetime of burden and a lifetime of disproportionate exposure that ends in an untimely death,” said Diana Hernandez, associate professor of sociomedical sciences at Columbia University's Mailman School of Public Health. “To me, this report is a little bit of a clarion call and saying, ‘Hey, we can't continue to ignore this important sub-population.’”

More: Study of health woes in Puerto Rico after Hurricane Maria shows effects of climate change

Hernandez thought of her own sick relatives in the South Bronx of New York City. She grew up in Mott Haven beside a highway and has family who still live there.

“Thinking about these air pollution exposures – what does that mean for my own mother's lifespan? And nobody wants to think about that,” she said. It's ""really systemic, because I know that there are some people that never have to contend with those with those considerations.”

Hernandez said unequal distribution of air quality improvement contributes to community neglect.

“The elderly are neglected as an EJ (environmental justice) population,” she said. The disproportionate elder deaths are a “real warning sign around what lifetimes of burden actually materialize into.”

Reach Nada Hassanein at nhassanein@usatoday.com or on Twitter @nhassanein_.",,[],['Nada Hassanein']
Most Americans live with unsafe air pollution levels,"More than 92% of Americans live in a region with unsafe air pollution, which could lead to reduced life expectancy, according to the latest University of Chicago Air Quality Life Index.

Why it matters: Some Americans could add more than a year to their lives if they lived in a place with cleaner air.

Air pollution can affect not only the lungs but also the heart, upper airways and many other organs.

What they're saying: ""Don't light things on fire and breathe it into your lungs,"" Erika Moseson, a pulmonologist on the American Thoracic Society Environmental Health Policy Committee, told Axios.

The details: The most polluted counties in the U.S. are in California.

In Mariposa County, which makes up part of Yosemite National Park; residents could gain 1.7 years of life expectancy if air quality there met new WHO standards, researchers concluded.

The big picture: Improving air quality is tantamount to improving health outcomes, and the U.S. still has a long way to go.",,[],"['Arielle Dreher', 'Authors Adreher']"
Utah environmental group warns about summer's invisible pollution,"SALT LAKE CITY — Utah is moving into what is projected to be a hotter and drier summer than usual this year, according to the Healthy Environment Alliance of Utah.

HEAL Utah says the more the climate continues to heat up, the worse the air pollution will become, which will impact the formation of ground-level ozone.

""This is the pollution that we're calling the invisible summertime pollution,"" said Meisei Gonzalez with HEAL Utah.

Gonzalez said in the winter months, the air quality throughout the Wasatch Front regularly gains national and sometimes worldwide recognition. He said this is due to Utah's geography and the high emitting pollution through the valley.

While that type of pollution is very visual, Gonzalez says the summertime ozone pollution tends to fly under people's radar a little bit.

According to HEAL Utah's website, the formation of the pollution is directly tied to sunlight, where it peaks in the hours of 4 p.m. to 7 p.m.

Gonzalez touched on two other main contributors to this type of pollution.

Just like in the winter, he said vehicle exhausts and emissions are a factor. It's something he says is driven by the fact that the population here in Utah is continuing to grow.

The other is our buildings, he said.

""Buildings are as — I want to say — disposable as cars,"" Gonzalez said. ""We kind of [go] through cars through our lives, where buildings, we kind of stay with them for quite a while, and a lot of these buildings end up emitting a lot of emissions just due to being out of date.""

During a presentation earlier this month by Utah's Division of Air Quality during the Clean Air Caucus, some of the pollution was attributed to the fact that 90 percent of the Beehive State's population lives on 1.1 percent of the land.

The presentation went into detail about how bad the pollution was in 2021, from June through September.

""We look at last year in particular, you can see for both ozone and particulate matter, we had many days that were not only over the standard, but in some cases double the federal air quality standard,"" said Bryce Bird, the director of the Division of Air Quality.

It's something Gonzalez said is having a wide-reaching impact.

""A lot of these numbers are showing that air pollution is shortening the lives of a lot of Utahns, and it's actually even becoming a reason why people are moving out of our state,"" he said.

HEAL Utah points to several ways to cut down on this kind of summer pollution. They include carpooling when possible, using public transportation, and finding ways to ride a bike or walk more often.

Gonzalez said HEAL Utah recently received a $200,000 grant from the Environmental Protection Agency under its Environmental Justice Collaborative Problem-Solving Cooperative Agreement Program to extend an air quality mapping program in Salt Lake County to include an environmental justice element.

Gonzalez said the grant will be put toward a study with a scientist at the University of Utah to put some air quality monitors on buses.

The hope, he says, is to compare results from different communities and how pollution is affecting them.",,[],['Chris Arnold']
Severe storms in Houston: Is air pollution to blame?,"Scientists from across the country are in Houston this summer to study whether tiny particles like soot and dust are making storms more intense.

Listen

At the La Porte airport, an empty field has been turned into a science lab. More than a dozen shipping containers are clumped together housing high-tech gear, many with antennas and other devices protruding from their tops. A giant cloud radar system sits on top of several of the trailers, and a sonic detection device emits a beeping noise in the background as it gathers data.

It’s a sunny day with just a few puffy, white clouds in an otherwise clear blue sky.

For Heath Powers with the Department of Energy's Atmospheric Radiation Measurement team in New Mexico, it's a bit boring.

""We're not going to have thunderstorms today,"" he said. ""We want to see big puffy white clouds grow up and get bigger and taller and more ominous and ultimately produce rain and thunderstorms. And that’s really cool to capture.""

Powers is one of dozens of researchers from around the country who will be in Houston this summer to see whether aerosols – tiny specks of soot, dust, smoke and other particles – are impacting the severity of thunderstorms.

Understanding the connection between pollution and severe storms could ultimately help improve weather forecasting and help cities better prepare for extreme weather and flash floods, according to the researchers.

""Just understanding how those conditions impact the strength of storms, can have influences on the precipitation and then subsequent flooding and safety issues. So those improved weather forecasts are one important part,"" said Michael Jensen, a meteorologist with the Department of Energy's Brookhaven National Laboratory and the lead scientist on the project.

Click here for more inDepth features.

Beyond day-to-day weather, researchers also aim to improve models used for air quality and climate predictions.

Several scientific studies have suggested that by changing the makeup of cloud and precipitation particles, aerosols can make storms stronger, larger, and bring more rainfall.

These tiny particles can come from both natural and manmade sources. They include things like soot, dust and smoke. Jensen said Houston was chosen in part because it has a variety of these particles, including sea spray from the Gulf.

""There’s obviously lots of aerosols associated with industry and refineries and transportation – all the things that come with a big urban center like this,"" he said.

The study started in October, and it entered an intensive phase for the summer storm season on June 1.

So far, Jensen said they've been surprised by just how many different types of particles are in the Houston area, including from forest fires in New Mexico.

""We’re able to look at some of the details of the composition and the size of those aerosol particles, and then use models to try to understand where those came from,” he said. “And that’s been pretty eye-opening.”

The equipment — which includes various types of radars, lidars and other tools — gathers an array of data on cloud properties, such as height, distribution, depth and the amount of water inside.

In addition to La Porte, measurements are also taken in Fort Bend County in the city of Guy. The team will also launch more than a thousand weather balloons throughout the course of the study to gather additional data on temperature, humidity and wind speed.

""What’s exciting for us is the sheer mass of instrumentation that’s here,"" said James Flynn, an atmospheric scientist with the University of Houston.

Flynn said he's been involved in air quality studies here for decades. But this is the first time it's been so weather-focused.

""Once we bring all of the data together, it’s going to be a pretty powerful dataset to look at,"" Flynn said.

Subscribe to Today in Houston Fill out the form below to subscribe our new daily editorial newsletter from the HPM Newsroom. Email* First Name Last Name * required",,[],['Katie Watkins']
Are you a robot?,"Why did this happen?

Please make sure your browser supports JavaScript and cookies and that you are not blocking them from loading. For more information you can review our Terms of Service and Cookie Policy.",,[],[]
Pa. DEP splits up long-stalled oil and gas air pollution rule,,,[],[]
Scientists warn of new ocean pollution threat called ‘plastitar’,"SAN FRANCISCO (KGO) - Scientists are worried two forms of ocean pollution are joining together to form a sort of super pollution.

Some of them are sounding the alarm now to try to stop the problem from getting worse.

For years, environmental groups have warned of the dangers from microplastics reaching San Francisco Bay.

Microscopic fragments often break off from the kinds of plastic trash found washing up on beaches.

Peter Roopnarine with the California Academy of Sciences in San Francisco said taken together, plastics and microplastics present a significant threat to marine life and the coastal environment.

“We’re finding them everywhere. We’re finding them in high concentrations in the open ocean,” Roopnarine said.

But now, researchers believe plastics are combining with a second substance, oil, to create a different form of pollution.

In a small study, a team on the Canary Islands documented dangerous microplastics embedded in oily tar balls created from spills or oil leaking from ships or pipelines.

It’s a combination being dubbed “plastitar.”

Roopnarine said the micro spills are common around the world.

“So anything that any process that can aggregate these small particles, which we know dense petroleum can, is going to aggregate microplastics,” Roopnarine said.

One concern is that once the fragments are embedded on a beach or coastline, they could degrade even further, finding their way into the food chain and marine environment.

“So we have a lot of ships coming and going. And they’re coming and going through some of the most biodiverse waters in the world,” Jennifer Stack said. “So we are always looking to how to best take care of these waters to prevent oil spills from happening.”

Stack is with the Greater Farallones and Cordell Bank National Marine Sanctuaries. The group organizes volunteers who routinely monitor the Bay Area coastline for signs of spilled oil that could threaten wildlife.

So far, researchers say it’s unclear if the “plastitar” phenomenon is limited to the Canary Islands or how widespread it may be.

But they said it could be viewed as a red flag for the dual threat to the oceans from microplastics and industrial pollution.

Copyright 2022 KGO via CNN Newsource. All rights reserved.",,[],['Mike Nicco']
Ending plastic pollution; protecting our blue planet,"Mr. Pascal Canfin, Chair of the ENVI committee,

Honourable Members of the European Parliament,

It is a pleasure to be here with you today.

The triple planetary crisis of climate change, nature and biodiversity loss and pollution and waste is upon us and bearing down harder every year. If we do not act strongly, this crisis will crush our chances of delivering on the Sustainable Development Goals. We can forget about ending hunger and poverty, delivering peace and equity, and living in harmony with the natural world.

This year, however, the international community has demonstrated the will to act with the force and speed needed to halt the triple planetary crisis. Stockholm+50 showed that the world is ready for system-wide transformations that place human well-being at the centre of a healthy planet. And, a few months earlier, in March, the Nairobi spirit of consensus-based diplomacy delivered high-impact outcomes at the fifth United Nations Environment Assembly, or UNEA 5.2.

The political declaration in Nairobi stressed the urgent need to halt the decline of biodiversity and the fragmentation of habitats – while four resolutions on nature covered issues from biodiversity and health to nature-based solutions. Resolutions on the circular economy reinforced plans to make infrastructure resilient, to push for a greener recovery from COVID-19 and to deal with the environmental aspects of minerals and metals management.

Big strides were made on chemicals, waste and pollution. The resolution to establish a science-policy panel on the sound management of chemicals and waste and preventing pollution could be a game-changer. This panel will give the third prong of the triple planetary crisis a scientific body on a par with those for climate and biodiversity.

And, of course, we had a milestone moment with the adoption of the resolution to create, by 2024, an international legally binding agreement on plastic pollution, including in the marine environment. This resolution is a testament to global coordination, cooperation and meaningful multistakeholder engagement. My appreciation to the European Union for your support in arriving at these positive outcomes.

Friends,

You all know the damage plastic pollution is causing, particularly to the blue planet. And you all know the benefits a comprehensive circular economy approach to plastics would bring – slashing the volume of plastics entering the oceans, reducing greenhouse gas emissions, saving money and creating jobs. So, allow me to drill down on the critical elements that I believe are necessary for the final agreement to be meaningful, impactful and effective – and therefore – be able to stop plastic pollution.

As I see it, at the top level, the deal must be ambitious, well-designed, and inclusive. The deal should include clear, defined, and monitorable targets – against which Member States can measure progress. The deal should recognize that our societies and economies depend on plastics, but that it is a product that should generally not be for single-use. The deal needs to be inclusive and address the concerns of all countries and those that work within the plastics economy.

But let us talk specifics. Here are my five key recommendations.

One, build a broad instrument that does not just tinker around the edges.

The deal must cover the full life cycle of plastics use. Consider different types of polymers and plastic products. Prioritize sustainable consumption and production, including the uptake of secondary and alternative raw materials. Deploy innovative reuse models. Design products that keep the highest value when recycling plastic. Address the chemical contents in the plastics we use to enable safe reuse and recycling. Develop safe and environmentally sound waste management. Eliminate residual waste along the value chain.

We aren’t exactly reinventing the wheel, but we do need to ensure that the plastics industry rolls in the right direction. And that means a radical transformation.

Two, be informed by science.

The deal must rely on science to identify hotspots for action along the value chain – looking at the most impactful polymers, products, sectors, geographic locations and waste systems.

Science has laid out the full scale of plastic pollution problem. It must be our guide as we fix the problem.

Three, bring everybody under the action umbrella.

The deal must account for the realities and complexities of the market – hear and understand the voices of plastic-dependent industries and grassroots communities, including waste pickers and others. In this regard, I was pleased to see that multi-stakeholder dialogues were part and parcel of the adhoc Open Ended Working Group discussions to end plastic pollution which was held last month in Dakar, Senegal. We will need governments, the private sector, research and development communities, indigenous peoples, the informal sector, youth, civil society organizations and consumer-based organizations.

We will need everyone to land and implement the deal.

Four, spur solutions for a new economy.

It is important to remember that this is not just about ending an environmental threat. It is about creating new economic opportunities and alleviating poverty. We are talking about new business models, new jobs. New market opportunities for recycling. New and alternative designs, materials, and products. Social and policy innovation to nudge behaviour changes in actions of different stakeholders along the plastics life cycle.

Let’s view this as creating a new economy, not destroying an old one.

Five, learn from other multilateral agreements and instruments, but embrace innovations in the multilateral environmental space.

We can learn much from, and build upon, existing instruments – from the Montreal Protocol to the Basel, Rotterdam, Stockholm and Minamata Conventions. But we should also innovate. We can find new pathways for modern, inclusive and networked multilateralism to give a broader set of stakeholders a voice – and give industry a chance to commit and measure themselves or be measured against agreed targets.

We need something old, something new, something borrowed to protect the blue i.e. the oceans on which we all depend.

Friends, we have two years to get this deal agreed and running, but the process is already in motion.

At the open-ended working group in Dakar, progress was made on nominating bureau members for regions, and the first of five planned sessions of the International Negotiating Committee is to be held in Uruguay, tentatively in November. The support of the European Union will be crucial – both politically and in terms of action to combat plastic pollution until the deal is up-and-running.

We are living through difficult times. But what I have seen this year – in terms of UNEA, in terms of the progress on plastic pollution, in terms of the growing societal movement for a healthy environment – reassures me that we can turn things around.

The European Union, and you on the ENVI Committee, have played an integral part in these signs of hope. My thanks for your efforts so far. Now I urge you to keep up the momentum.

It is crucial that the European Union maintains high ambition on the triple planetary crisis, in the interests of not only European citizens, but the rest of the planet. I ask members of the European Parliament, through ongoing discussions on elements of the Fit for 55 package, to take the right decisions for planet and people, based on science.

I look forward to working with you to shift the needle even further into the green.",,[],[]
Air pollution in fast-growing African cities presents a risk of premature death,"Biomass burning dominated Africa’s air-pollution cause-list for centuries; this is now changing, at least in cities

Ten more African cities have signed on to the C40 Clean Air Cities Declaration to improve air quality. C40 is an international group of mayors collaborating to make cities more environmentally sustainable.

In May 2022, Abidjan, Accra, Addis Ababa, Dakar, Ekurhuleni, Freetown, Johannesburg, Lagos, Nairobi and Tshwane joined Durban, the first African city to sign the declaration.

As part of the C40 pledge, city leaders have committed to actions to tackle air pollution and slow human-caused changes in climate. These include actions such as setting targets that follow the World Health Organisation’s clean air guidelines.

This is a welcome commitment, as air pollution is a leading burden on global health. More than 6.5 million people die prematurely from exposure to air pollution each year worldwide. And air quality is worsening in African cities during a period of rapid growth and development. African cities are forecast to grow by 3-31 per cent annually from now until the end of the century. This is far steeper than growth rates in Indian cities, at about 1-3 per cent per year.

A major challenge in combating air pollution in Africa’s cities is the scarcity of data. Air quality is not monitored in most cities and resources to compile inventories of the types and sizes of sources contributing to air pollution are lacking. All these efforts are costly and require sustained, long-term funding.

Publicly available data from satellite observations provide a picture of multiple air pollutants. In our recent study, we sampled these data over fast-growing cities in the tropics, including 26 in Africa. Our investigation covered a 14-year period between 2005 and 2018.

We determined that the quality of air is declining at unprecedented rates. We found that the cause is a shift from rural to urban sources and that combined worsening air quality and population growth is linked to 180,000 additional premature deaths.

Such harmful effects will persist without bold air quality policies.

Shift in pollution

For centuries, air pollution in Africa has been dominated by open burning of biomass. This is a common practice by farmers in the dry season to clear land and to prepare for the next sowing season. The smoke produced is full of pollutants, bad for people and the environment.

This is now changing, in cities at least.

In our analysis we identified that urban pollution sources have surpassed rural biomass burning as the main cause for worsening air pollution in cities. Satellite observations are too coarse (~10 kilometres) to pinpoint the exact sources, but we can speculate that these include road traffic, burning of waste, and household use of fuels like charcoal and wood.

Our study focused on the fastest growing cities in the tropics. Amongst these are Lagos (population 15.4 million people growing at 3.5 per cent per year) in Nigeria, Dar es Salaam (population 7.4 million people, 5.1 per cent per year) in Tanzania, and Kinshasa (population 15.6 million people, 4.4 per cent per year) in the Democratic Republic of the Congo.

The air quality indicators we tracked were fine particulate matter pollution (PM2.5) and the gas-phase compounds nitrogen dioxide (NO2), ammonia (NH3), and volatile organic compounds (VOCs). These either directly impact health (PM2.5, NO2) or form air pollutants that do (VOCs, NH3). These can all be produced from traffic, and burning of household waste and fuel.

Health hazards

The shift from rural to urban sources, combined with rapid population growth, is leading to more people living in closer proximity to air pollution and worsening population health.

Of most concern is PM2.5, as these particles are about 30 times smaller than the diameter of a strand of human hair. PM2.5 penetrate deep into our lungs and go on to have a range of effects on health, leading to premature death. Most prominent are heart disease, stroke, chronic obstructive pulmonary disease, lung cancer, and lower respiratory infections.

We used health risk assessment and atmospheric chemistry models, along with the satellite data, to estimate that premature mortality from sustained exposure to these small particles has steadily increased in 21 of the fastest growing cities in Africa. It’s risen from 84,000 in 2005 to 110,000 in 2018. This is on average about 2,000 avoidable deaths each year.

Karn Vohra

A third of these deaths are in five of the 10 cities that have signed on to the C40 declaration: Abidjan, Addis Ababa, Dakar, Lagos and Nairobi. The steepest increase in early deaths of about 300 people per year is in Kinshasa, a city yet to join the pledge.

The number of people dying prematurely from exposure to air pollution is three times lower in African cities than in Asia, where the shift to urban sources of air pollution is well under way or has already occurred. This is in part because improvements in healthcare in Africa are counteracting the adverse effects of air pollution on health leading to decline in overall mortality. In Addis Ababa in Ethiopia, for example, the number of deaths could have been almost double the values we estimated without improvements in healthcare. But this offsetting won’t last if air quality continues to degrade and healthcare improvements taper off.

Twenty-six cities in Africa are predicted to be megacities by 2100, reaching unprecedented sizes. By 2100, Lagos may be home to 80 million people; more than double the current largest city of Tokyo.

Access to emission control and renewable energy technologies are cheaper and easier to use than ever before. The C40 pledges are a step in the right direction, but more cities need to join to safeguard public health across the continent.

Karn Vohra, Research Fellow, UCL and Eloise Marais, Associate Professor in Physical Geography, UCL

This article is republished from The Conversation under a Creative Commons license. Read the original article.",,[],[]
Spider webs record severity of microplastic pollution in cities,"Spider webs are a good barometer of the amount of microplastics in city air, according to a new study out of the University of Oldenburg in Germany. Although previous research has shown that pollutants like heavy metals and magnetic particles can become trapped in spider webs, nobody has examined these natural structures for microplastics until now, explained geochemist Barbara Scholz-Böttcher, who headed the study.

The University of Oldenburg team collected spider webs from the upper area of semi-covered bus stops located along roads with varying traffic levels in the north-western German city of Oldenburg. The goal was to determine whether microplastics could be detected and if certain distribution patterns could be identified. The researchers identified fibres, presumably from textiles, as well as soot particles.

These samples were heated at very high temperatures in the absence of oxygen, and the resulting plastic fragments were identified using GC–MS. The team found that all the spider webs they had collected were contaminated with microplastics, and in some cases the plastic content even accounted for a tenth of the total weight of a web. Almost 90% of the plastic detected consisted of poly(ethylene terephthalate) (PET), poly(vinyl chloride) (PVC) and material from car tyres. The proportion of tyre debris in the webs varied greatly, depending on the traffic on the adjacent road. It also appeared that the abrasion of road markings contributed significantly to microplastic load along roads.

The team concluded that examining spider webs is a fast and inexpensive biomonitoring approach that can be used to screen for hot spots of microplastics pollution that require further detailed human health and ecological risk assessment.",,[],['Rebecca Trager']
