title,text,summary,keywords,authors
EU climate targets: how to decarbonise the steel industry,"Reinvesting in existing CO 2 -intensive assets risks creating stranded assets (having to close down assets before the end of their economic and technical lifetime). The recently published REPowerEU plan reiterated and strongly emphasised the need to accelerate decarbonisation in the EU. Replacing coal, oil and natural gas in industrial processes will reduce greenhouse gas emissions, strengthen industrial competitiveness, and support international technology leadership.

A new report by the European Commission’s Joint Research Centre shows that the EU steel industry is mainly focussing on hydrogen-based steelmaking as a decarbonisation strategy.

Meanwhile the industry is exploring carbon capture technologies, notably in partnership with the chemical industry, as a way to capture and use CO 2 emissions for the production of chemicals.

The report also describes recent efforts by industry players to decarbonise their steel production, draws together information on pilot projects and industry announcements on the deployment of breakthrough steelmaking technologies (hydrogen-based Direct Reduced Iron [DRI] carbon capture technologies and electrolytic reduction of iron ore), and discusses the associated costs and the role of R&D.

Decarbonisation strategies

CO 2 emissions and energy use in European steel production have already been halved since 1960, and the sector aims to achieve further cuts of 80-95% by 2050[2], compared to 1990 levels. Since the conventional Blast Furnace - Basic Oxygen Furnace production route is highly CO 2 -intensive (usually with a carbon footprint of 1.6-2.0 tonnes of CO 2 per tonne of crude steel produced) and most EU steel mills are operating close to optimum efficiency, the industry is increasingly focussing on hydrogen-based steelmaking to decarbonise the sector.

Several projects announced across Europe aim to replace existing steel production processes with new steel plants based on the direct reduction of iron using hydrogen. The REPowerEU plan highlights that around 30% of the primary steel production in the EU is expected to be decarbonised by 2030 using renewable hydrogen.

The cost

In the short-to-medium term, making low-CO 2 steel is likely to be more expensive than current steel production costs. The future costs of hydrogen-based steel production are highly uncertain, since they depend on the future costs of renewable hydrogen and electricity.

The report gathers and compares the results of several external studies that show that with a strong decrease in the costs of renewable hydrogen and an increase in the price of CO 2 emissions, hydrogen-based steelmaking could become competitive with current steelmaking costs by 2050.

Instruments such as carbon contracts for difference (highlighted in the report) could reduce the risks of deploying low carbon technologies by hedging the uncertainty in future carbon costs.

The major investment needed to deploy low-CO 2 steelmaking plants will however need to go hand in hand with investment in the infrastructure required to enable these solutions (renewable electricity and transmission networks, hydrogen related infrastructure or CO 2 transport and storage infrastructure).

The role of R&D

The EU’s ultra-low CO 2 steelmaking (ULCOS) programme, co-funded by the Commission, was instrumental in the early development of decarbonisation technologies for the steel industry. ULCOS brought together 47 partners across the European steel industry and research landscape, and was crucial for assessing and developing low-CO 2 process routes, which were then adopted by industry.

The report presents several indicators showing that the EU industry was a global leader in the early-stage development of technologies. EU R&D programmes played an important supporting role in their early development, but major investments are still needed to support first-of-a-kind demonstration and commercial deployment.

The Clean Steel Partnership, formally launched in June 2021, aims to bring a range of breakthrough technologies for clean steel production up to large-scale demonstration by 2030. The partnership estimates R&D investment needs up to 2030 to be around €2.6 billion. The partnership will be funded under both Horizon Europe and the Research Fund for Coal and Steel, with the EU contributing €700 million towards this mechanism.

The European Commission’s Innovation Fund, financed by the auction revenues of the EU Emissions Trading System, is expected to play an important role in supporting the demonstration of first-of-a-kind low-CO 2 plants.

As part of the REPowerEU plan, the Commission will also roll out carbon contracts for difference under the Innovation Fund to support a full switch of existing hydrogen production in industrial processes from natural gas to renewables and the transition to hydrogen-based production processes in new industrial sectors such as steel-making.

State aid rules on Important Projects of Common European Interest can further boost the implementation of these pilot decarbonisation projects. The European Commission is also facilitating action on research and technology innovation in industry through initiatives bringing together Member States, industry and the research community, such as the European Strategic Energy Technology Plan (SET Plan) and the ERA Common Industrial Technologies Roadmaps.

A paradigm shift

The report describes the recent paradigm shift among major industry players – globally and especially in the EU – to decarbonise steel production.

The five biggest steelmakers in the world, as well as all the biggest EU steelmakers, have announced decarbonisation targets. In parallel, there is evidence of an emerging market that is willing to pay a green steel premium, as automotive companies are announcing they will use low-CO 2 steel in their vehicle manufacturing. By implementing additional regulatory initiatives to create green markets, such as setting green steel standards and green public procurement, the EU has the opportunity to be a frontrunner in the production of low-CO 2 steel.

Background

The steel sector generates over 330 000 direct jobs and 2.5 million indirect jobs, making it a key part of the EU economy. Steel production in the EU is dominated by a handful of countries. Germany produced 26% of all EU steel in 2020, followed by Italy (15%), France (8%) and Spain (8%). Just over half of all steel produced in the EU in 2020 (56%) was made via the primary route and 44% was made through the recycling route.

Fourteen countries in the EU have primary steelmaking capacities. The smallest such sites in the EU have crude steelmaking capacities of just above 1 million tonnes per year, while the largest sites have capacities of around 10 Mt/year. There are 24 such integrated steelmaking sites in the EU.

[1]IEA. (2020). Iron and Steel Technology Roadmap.

[2] Vogl, V., Åhman, M., & Nilsson, L. J. (2018). Assessment of hydrogen direct reduction for fossil-free steelmaking. Journal of Cleaner Production, 203, 736–745.",,[],[]
Are you a robot?,"Why did this happen?

Please make sure your browser supports JavaScript and cookies and that you are not blocking them from loading. For more information you can review our Terms of Service and Cookie Policy.",,[],[]
Steel mills may be forced to take maintenance shutdowns as demand dips sharply following export duty levy,"Steelmakers may be forced to take maintenance shutdowns at their plants this month to combat a demand-supply mismatch in the domestic market after sudden levy of export duty on steel last month hit their overseas business, people in the know said.The export duty, imposed to check rising inflation in the country, has resulted in volatile steel prices in the domestic market. Now, traders and end-users are deferring large orders in expectations of further price correction, the sources said.The buyers are dipping into their holding stock to meet requirements. This has resulted in the piling up of finished inventory with steel mills , they said.Inventory of finished steel is also piling up at mills as export has nosedived since the levy of the new duty, experts said.Prices of the alloy continue to dip in the domestic market in tandem with a decline in input costs and global steel prices. The prices of benchmark hot-rolled coil ( HRC ) steel at traders’ end dipped by 9% since the imposition of the export duty to around Rs 63,100 per tonne as of June 8, according to data from SteelMint, a market intelligence firm.“Price correction is not a worry. What is worrying us is the demand,” a senior executive at a leading steelmaker told ET, requesting not to be named. “When destocking happens, not all steelmakers will be able to afford holding inventory.”Scheduled maintenance shutdowns are a norm at steel mills.Many companies are looking to advance these to this month to balance out the demand-supply mismatch, said an executive at another leading steelmaker.Private steel mills hold about 15-17 days of inventory while the public-sector ones hold around 20-23 days of inventory, according to SteelMint.“We are getting the indication that if inventories go above these levels, then the steel mills will think of having maintenance shutdowns,” a spokesperson for the intelligence firm told ET.The government had imposed a 15% duty on the export of steel, effective May 22. It also levied a duty on the export of iron ore, a key raw material, and removed import duties on coal in a bid to reduce the input costs for steelmakers. The move has resulted in the softening of steel and iron ore prices.To be sure, prices of steel in the domestic market had been correcting since the first week of April after hitting a peak of Rs 78,800 per tonne. Prices also soften during this time of the year due to seasonal slowdown in demand as construction activity slows down during monsoons. The rate of reduction in steel prices has picked up since the export duty levy.The second executive quoted above expects destocking to ease over the next 10-15 days as traders and end-users run low on inventory and steel prices also find some stability.Criticising the new export levy , the first executive quoted above said prices of steel have always moved in tandem with input costs, and referred to prices of iron ore, coking coal and crude oil, which have approximately increased between 90% and 250% in the last two years.Domestic steel has always been cheaper than imported steel in the country, the executives claimed.“Steel prices have not gone up in isolation,” one of them said. “If you want steel prices to come down to Rs 38,000 (a tonne), then input prices need to come down too.”Domestic steel cost around Rs 38,000 a tonne in April 2020.",,[],['Nehal Chaliawala']
"Port-based manufacturing jobs on horizon in Paulsboro, two steel plants under construction","Port-based manufacturing jobs on horizon in Paulsboro, two steel plants under construction

PAULSBORO – Two steel plants to fabricate giant monopiles for a planned offshore wind turbine network are under construction here and expected to be finished with workforces hired before the end of 2022, according to Mayor Gary Stevenson.

On total buildout, the port-based facility promises to employ more than 500 people. The hiring process will add “a little weight” to applications from borough residents, the mayor said in a recent interview.

“And why does that help me?” Stevenson said. “Many reasons. We have our share of low-income people and a high unemployment rate.”

More: Pitman armory property cleanup continues with some good news but no end date

More: Plan to turn missile defense base to warehouse center is in front of township planners

The fabrication facility is in an area of the port terminal and will have four buildings in operation, ultimately. The South Jersey Port Authority recently filed with the N.J. Department of Environmental Protection for three permits needed to start work on the third and fourth buildings.

Stevenson said an employee training program will be announced soon. The program will involve Rowan University and Gloucester County Institute of Technology in Deptford Township, he said.

“You go get trained to be a welder, or a painter, or whatever it may be,” Stevenson said. “And, most likely, you’ll get hired by the port. Those 500 people have to eat. So, it helps my luncheonettes around here, my diners. Helps the hardware stores.”

The building and hiring timetable were part of a discussion this month between the borough and the port authority on how the project is progressing.

The port authority operates the Paulsboro Marine Terminal that opened in March 2017. The monopile fabrication is happening within the terminal.

Stevenson said hiring is expected to place in three stages, with approximately 150 to 175 positions filled in each stage. Each stage will correspond with the facility’s progress, he said.

At full buildout, Stevenson said, the fabrication facility easily should be the largest, single employer of Paulsboro residents. The borough, about 2.6 square miles including waterways, has about 5,900 residents.

“The good-paying jobs aren’t here in town anymore,” Stevenson said. “When I grew up, everyone had a job,” Stevenson said. “Either you were at the refinery, the chemical plant, or E.I. Du Pont in Gibbstown or right down along in Carneys Point for Du Pont. Eighty-five percent of your families worked there or somebody in your family. Du Pont’s gone. Chemical plant’s gone.”

“Monopiles” is the industry term for the 400-foot-tall columns that will be driven into the ocean bed. Electricity-producing wind turbines will be mounted on top, above the reach of waves.

The monopiles are assembled from multiple steel pipe sections shipped in from Europe to Paulsboro. After assembly, the monopiles will be taken by barge and shipped into the Delaware Bay for installation.

A facility in Salem County will do related work on windmill parts, also for shipping on completion to sites in coastal waters.

According to the permit applications recently filed with the DEP, the proposed third and fourth buildings would engage in steel plate welding, roll bending, and circumferential welding.

The proposed work is the second phase in the project that created the existing Paulsboro Marine Terminal.

The new applications call for construction of a 169,215-square foot building and an 89,105-square foot building. The buildings will be on a 23.8-acre parcel at 50 Universal Road, which converges on Mantua Creek.

The first phase of work on the Paulsboro Marine Terminal got started in 2012. The terminal sits on former industrial properties along the river. Construction projects at that time included a wharf, ship berths, and using dredged materials to raise waterfront land and reduce exposure to flooding.

The marine terminal opened for business in March 2017 with an 850-foot-long berth. The “full buildout” goal is for three deep-water berths on the river and a 550-foot-long barge berth on Mantua Creek, in addition to railroad and road connections.

Construction is scheduled to start July 1 on a berth for ""roll on-roll off"" type vessels.

Construction also starts then on mooring “dolphins,” a term referring to a group of pilings driven into the riverbed.

Additionally, the work includes depositing dredged material on the site’s uplands to increase its height.

The project site consists of about 130 acres formerly used by BP Oil Company and about 60 acres operated by Essex Chemical, a subsidiary of The Dow Chemical Company.

Philadelphia International Airport is directly across the river.

Joe Smith is a N.E. Philly native transplanted to South Jersey more than 30 years ago, keeping an eye now on government in South Jersey. He is a former editor and current senior staff writer for The Daily Journal in Vineland, Courier-Post in Cherry Hill, and the Burlington County Times.

Have a tip? Reach out at jsmith@thedailyjournal.com. Help support local journalism with a subscription.",,[],['Joseph P. Smith']
"Ukraine’s Richest Man Plans to Sue Russia for Destruction of Steel Plants, Lost Business","Ukraine’s richest man says he plans to sue Russia over what he said was $17 billon to $20 billion in losses caused by its bombardment of steel plants he owns in the devastated city of Mariupol.

The Azovstal steelworks suffered heavy damage from Russian bombing and shelling after the sprawling plant became the last bastion of defense in the southern port city. The Illich Steel and Iron Works, also owned by Akhmetov, was also badly damaged during Russian shelling of Mariupol.

“We will definitely sue Russia and demand proper compensation for all losses and lost business,” Rinat Akhmetov, who owns the biggest Ukrainian steelmaker Metinvest, told Ukrainian news portal mrpl.city in an interview.

Asked how much money Metinvest had lost because of the damage to Azovstal and Illich, he said: “The replacement cost … due to Russian aggression is from $17 to $20 billion. The final amount will be determined in a lawsuit against Russia.”

Billionaire Akhmetov had already seen his business empire shattered before the war by eight years of fighting in Ukraine’s east after pro-Russian separatists took over swaths of territory there.

Since Russia’s invasion on Feb. 24, Metinvest has announced it cannot deliver its supply contracts. While Akhmetov’s financial and industrial SCM Group is servicing its debt obligations, his private power producer DTEK has restructured its debt portfolio, he said.

Akhmetov said he had remained in Ukraine since the war with Russia began, adding: “We believe in our country and believe in our victory.”

(Reporting by Natalia Zinets; editing by Timothy Heritage)

Photograph: A view of a destroyed part of the Illich Steel and Iron Works metallurgical plant in Mariupol, in territory under the government of the Donetsk People’s Republic, eastern Ukraine, Wednesday, May 18, 2022. This photo was taken during a trip organized by the Russian Ministry of Defense. Photo credit: AP Photo.

Topics Lawsuits Russia Ukraine",,[],[]
Subscribe to read,"Become an FT subscriber to read:

Leverage our market expertise

Expert insights, analysis and smart data help you cut through the noise to spot trends, risks and opportunities.

Join over 300,000 Finance professionals who already subscribe to the FT.",,[],[]
JSW Steel is far from regaining its sheen,"Shares of JSW Steel have declined by nearly 11% since the government levied export duty on steel effective 22 May. This along with dull international prices has resulted in the domestic price of this commodity correcting significantly.

According to SteelMint, domestic hot-rolled coil prices plunged by 20% from the highs seen in April to ₹63,100 per tonne as on 8 June.

“Management expects price declines to stabilize unless coking coal costs come down from present levels of around $400 per tonne,"" said analysts at Nomura Financial Advisory and Securities (India) in a report on 13 June. The brokerage hosted JSW Steel at Nomura Investment Forum

However, the imposition of export duty means lower realization on shipments. Even so, the company will continue to export 15-20% of its production in FY23 in order to maintain long-term customer relations.

“Relatively lower realization on exports by 15% and with exports accounting for 15% of management’s sales estimates, overall net steel realization can be impacted by 2.0-2.5% for FY23F,"" added the Nomura report.

But there is some respite from the softening of raw material costs such as coking coal and iron ore. However, this impact is expected to reflect in the financials with a lag. Thus, the company expects Ebitda (earnings before interest, tax, depreciation and amortization) per tonne to stabilize from Q2FY23.

On the demand front, there could be a slowdown in construction activity due to the upcoming monsoon season which would weigh on steel demand. On the other hand, the demand from automobile sector continues to be firm with increased traction seen for passenger vehicles and commercial vehicles.

In H1FY23, the company anticipates mill-level inventories to rise but the channel inventories to be softer in the near term due to subdued demand. As prices stabilize, it foresees buying to re-emerge from the later part of June.

Meanwhile, it targets to achieve brownfield capacity expansion at $400 per tonne which is considerably below the $1000 per tonne replacement cost of steel plants globally. “We believe management focus on relatively low-cost brownfield expansion, digitalization and other cost measures will structurally boost profitability,"" added the Nomura report.",,[],[]
Steel Producers Association Cautions Against Power Outage,"Premium

Subscribe to the Financial Tribune to continue reading this article or Log in to your account if you are already a subscriber.

Find out more about our subsciption plans here.",,[],['Https']
India's first road constructed from steel slag inaugurated in Surat,"Steel Minister Ram Chandra Prasad Singh on Wednesday inaugurated a six-lane highway in Surat made of steel slag -- a first for the country.The road constructed using 100 per cent steel-processed slag is a real example of converting ""waste into wealth"" and improving sustainability of steel plants , the minister said.""Steel Minister inaugurated the first six lane highway road made by using steel slag at Surat, Gujrat. While inaugurating the road, the Minister impressed upon the need to promote circular economy and resource efficiency by converting all waste into wealth,"" the Ministry of Steel said in a statement.Slag is a by-product of steel manufacturing.Use of such material in road construction shall not only increase its durability but also help in reducing the cost of construction as slag-based materials have better properties than natural aggregates, Singh said.The use of steel slag in road construction will also address the shortage of natural aggregates in the country. The production of steel slag in India from different process routes is likely to increase by 2030.Steel maker AMNS India said the six-lane road of 1 kilometer was constructed using around 1 lakh tonnes of processed steel slag from its manufacturing plant in Hazira.The road has been jointly made with the Central Road Research Institute ( CRRI ) -- a laboratory of the Council of Scientific and Industrial Research (CSIR), ArcelorMittal Nippon Steel (AMNS) India said in a statement.AMNS India CEO Dilip Oommen said, ""Supported by the CRRI, we are proud to have developed an alternative to natural aggregates in road construction, which is of international standards, cost competitive and reduces the burden on natural resources.""Mukesh Kumar, Director of Steel Research & Technology Mission of India (SRTMI), said slag is a by-product which comes out during manufacturing of steel through three processes, namely basic oxygen furnace (BOF) route, electric arc furnace (EAF) and induction furnace (IF).""This is a breakthrough for the industry as far as utilisation of slag is concerned. Slag was being used only for only landfilling,"" the industry expert said.",,[],[]
Accelerating toward net zero: The green business building opportunity,"Getting to net zero will require tremendous, rapid change and large-scale technology deployment across industries. The transition will create massive opportunities to build entirely new businesses.

A recent McKinsey report found that reaching net zero by 2050 could entail a 60 percent increase in capital spending on physical assets, compared with current levels. The required investments amount to $9.2 trillion per year until 2050, of which $6.5 trillion annually would go into low-emissions assets and enabling infrastructure. Our analysis also shows that growing demand for net-zero offerings could generate more than $12 trillion of annual sales by 2030 across 11 value pools, including transport ($2.3 trillion to $2.7 trillion per year), power ($1.0 trillion to $1.5 trillion), and hydrogen ($650 billion to $850 billion) (Exhibit 1). Such a transformation of the global economy could create significant growth potential for climate technologies and solutions.

Exhibit 1 We strive to provide individuals with disabilities equal access to our website. If you would like information about this content we will be happy to work with you. Please email us at: McKinsey_Website_Accessibility@mckinsey.com

Some technologies will be key in propelling the transition to net zero. In Europe, for example, our research suggests that just 15 technologies could drive 70 percent of the emissions abatement required to reach net zero in the region. Technologies that are mature and already available at a commercial scale, including onshore wind and solar photovoltaic, account for about 25 percent of the abatement potential in Europe, while an additional 45 percent could come from technologies that have an opportunity to be commercialized in the near future. This means that, in addition to renewable-energy technologies and electric mobility, technologies for zero-carbon residential heating (such as heat pumps), carbon capture and storage, green-hydrogen-based fuels, and industrial electrification could support decarbonization at scale.

In many markets, start-ups have been the first to scale up climate-tech businesses (renewable energy and electric vehicles, for example), while incumbents have been slower to adapt. But it’s not too late for established companies to break into still-maturing climate-technology domains, where the playing field remains wide open—provided that they move quickly. In addition, there will be room for thousands of surrounding players as these businesses develop and mature.

A recent McKinsey report found that reaching net zero by 2050 could entail a 60 percent increase in capital spending on physical assets, compared with current levels.

Building green businesses is top of mind for many leaders. In Leap by McKinsey’s state of new-business building report, 92 percent of executives say that new businesses built in the next five years will address sustainability to some extent—and 42 percent expect to put sustainability at the center of their new businesses’ value proposition. In our work with organizations that have built green businesses, we have identified ways companies could set themselves up not only for entry into a market but also for significant growth. Green business builders will likely need to plan and scale at the speed of digital companies to accelerate the transition to net zero. They’re ambitious with their growth goals and have cost advantages, often because they move quickly. Here, we share key lessons from successful green business builders.

Moving at the speed of digital

While it took many years and significant governmental support to scale up renewable-electricity generation, broadening support for the net-zero agenda could enable the next wave of green businesses to grow more quickly.

By now, more than 3,000 companies across the world have set or are in the process of committing to an emissions reduction through the Science Based Targets initiative, an institution that has created a framework around reduction commitments for businesses. Additionally, regulation (the EU taxonomy, for instance, which helps to define what economic activities in the region can be considered environmentally sustainable), investor activism, and rising consumer interest, among other factors, are pushing companies to benchmark and improve the sustainability performance of their offerings. For example, suppliers in B2B value chains are facing increasingly stringent emissions-reductions requirements as more of their customers pursue net-zero strategies. All of this is likely to accelerate the adoption of cleaner materials—such as low-emissions steel in the automotive industry, as one example—and solutions (for instance, the electrification of thermal-energy processes in manufacturing). Some sustainable products, such as low-emissions steel and recycled polyethylene terephthalate (PET), the plastic most commonly used for beverage bottles, are already seeing a price premium due to a shortage of supply versus demand.

Would you like to learn about our business-building practice, Leap by McKinsey

The development of green businesses could be much faster for an additional reason: some climate technologies can only compete on price when they are being manufactured at a large enough scale (more on this idea in a later section). The need to scale up quickly to compete could propel new green businesses to achieve execution speeds that are more familiar to the digital economy. Commercializing many green technologies will likely require significant investments in physical assets, which aren’t required for software development or digital engineering; these investments could reach billions of dollars or euros per plant. Nevertheless, green business builders can learn lessons from digital-business builders, including aggressive growth plans, working with agility, and being a first mover. Historically, scaling sustainable technologies has been done carefully, step-by-step over years, to manage both the technological and commercial risks involved.

A few companies in the alternative-proteins and alternative-dairy categories illustrate how embracing the speed of digital could create a market advantage. For one, some of these players did not allow their lack of manufacturing capacity to get in the way of growth. They were early to get their products distributed through leading fast-food and coffee chains, which helped to elevate brand awareness. Some relied on co-manufacturing, even though this typically hurts margins in the short term. And now, as their revenues have grown, some of these players are building up their own manufacturing capacity to help meet demand, often with larger plants that produce goods at lower unit costs.

In some cases these players could experience scaling pains—when demand outpaces expanded production capacity, for example. However, being early to market and growing quickly has resulted in strong market share, with the distribution and cost advantages that come along with such a position. Gross margins tend to be strong for these players, too, since many consumers have been willing to pay a premium for their products. These companies have typically reinvested profits back into the business.

The alternative-proteins and alternative-dairy examples are, of course, B2C cases. However, scaling early and quickly is an approach that, based on our experience, may help to separate strong green businesses, whether B2B or B2C, from competitors or followers in the same space.

Seven keys to scaling green businesses

For green business building, incumbents may have advantages, including access to capital and deep institutional knowledge. Some corporate leaders have identified success factors for building a new business in general, such as providing ring-fenced investment in the new business and setting realistic expectations with both internal and external stakeholders on investment needs. However, building a green business can also come with new challenges for incumbents. For example, when scaling a new climate technology, it may be difficult to balance the time it takes to validate the technology on a demonstration scale while also planning industrial-scale installations across different conditions and geographies. Start-ups typically have been the first movers on some green ventures, as they are often equipped with a higher tolerance for risk-taking and the ability to operate at faster speeds.

Through our work with organizations that have built and scaled green businesses successfully, we have identified seven key principles.

Lead with game-changing ambition. Effective green business builders tend to set their sights on creating something significant from the start. Game-changing ambition may mean aspiring to produce a zero-carbon product at a competitive cost (which enables a competitive price), compared with a less sustainable alternative, and scaling new capacity fast. Leaders tend to think about what it will take for the product to achieve significant market share within the next, say, five years—instead of 15—and engineer backward from there, much like in the world of digital business building. Our experience shows that operating with such ambition could result in companies reaching their targeted costs faster. By setting firm production-capacity goals, a new business might better position itself to reach lower unit costs faster and potentially be competitive on price from the start (more on cost advantages shortly). Leading with game-changing ambition could also encourage certain markets to make the shift to net zero faster. For example, H2 Green Steel, a Swedish company founded in 2020, is building a fossil-fuel-free steel mill that relies on a hydrogen-based production process. Last year, H2 Green Steel announced that total financing for the first phase of the project is approximately €2.5 billion ($2.7 billion), and the company plans to begin production in 2024. Industry incumbents in Europe may have already been planning green-steel investments, but H2 Green Steel’s launch has coincided with incumbents now pursuing at least 20 other green-steel projects in the region.

Industry incumbents in Europe may have already been planning green-steel investments, but H2 Green Steel’s launch has coincided with incumbents now pursuing at least 20 other green-steel projects in the region. Secure a cost advantage by identifying a scaling break point for any new technology. Building a business around a clean technology may require analyzing different technological pathways, including some technology options that are not yet commercialized. When analyzing a new technology, leaders must understand the scale break point for cost competitiveness, so business viability can be reached as quickly as possible. Take recycled textiles, for example. Based on our experience, many fashion and apparel players are looking to introduce materials that require the scaling of textile-recycling technologies. Our analysis of one of the technologies identified the scale break point at which producing recycled man-made cellulosic fibers, an alternative to virgin viscose, would likely be cost competitive. In this case, only when average plant size and the number of plants reaches a critical scale could costs be expected to become competitive (Exhibit 2). Before committing to investments at scale, leaders may benefit from knowing the relative maturity of the technologies, assessing their performance under different scaling speeds, and understanding the environmental footprint.

Exhibit 2 We strive to provide individuals with disabilities equal access to our website. If you would like information about this content we will be happy to work with you. Please email us at: McKinsey_Website_Accessibility@mckinsey.com

Sign up captive demand before scaling. Green business builders often tackle the commercial side of investment risk by signing up captive demand for their output before they start to physically scale—as Swedish battery manufacturer Northvolt AB did with Volkswagen and BMW. Many green business builders—including Northvolt—also invite their customers to invest in the business up front, as a way to align interests even further. Alternatively, when larger corporations start a green business, they might themselves be the ideal first captive customer. For example, shipping company Maersk and ferry operator DFDS are major investors in a new e-ammonia project (e-ammonia is a green shipping fuel).

Many green business builders—including Northvolt—also invite their customers to invest in the business up front, as a way to align interests even further. Alternatively, when larger corporations start a green business, they might themselves be the ideal first captive customer. For example, shipping company Maersk and ferry operator DFDS are major investors in a new e-ammonia project (e-ammonia is a green shipping fuel). Build capacity with parallel scaling. To reach scale-up goals, the ability to drive several investments or market introductions in a limited time frame is key. Often we’ve seen leaders “parallelize the scaling” from the start—that is, initiate additional growth waves before they have completed the first one. They create a modular, replicable standard for production based on the first business deployment rather than a tailor-made, one-off pilot. They also incorporate key lessons from each growth wave into the next, as a way to help manage costs and keep ambitious deployment timelines on schedule. One example of the parallel-scaling approach is a zero-carbon metals player that is planning to start building a second plant halfway into the construction of the first—and aims to complete it in approximately half the time as the first. The parallelization of scaling is also something to consider when growing adjacent businesses.

Proactively create business ecosystems. Many green business building efforts are also value-chain-building efforts. Consider circular materials, like the recycled textiles example mentioned earlier. There is a need to secure effective collection, appropriate sorting and processing, and market-based demand for the recycled textile fibers. No one player is the natural investor in all steps of the value chain. But investments in a single step may be less feasible without all the other steps already in place. Similarly, many new green businesses require new infrastructure around them. In the case of the e-ammonia project, substantial investments in upstream hydrogen and renewable electricity capacity are needed, as well as new transportation and fueling infrastructure downstream. Green business builders look to collaborate with players in their value chains and make sure that the infrastructure and investments come together in a coordinated manner. This could be done through joint feasibility studies or demonstration pilots where relevant players team up. When done successfully, these collaborations could also lead to the captive-demand arrangements described earlier. Once the framework of a new value chain starts to operate and has a financial underpinning, more ecosystem players may start gravitating toward it. One example of new ecosystem players getting together is the Long Duration Energy Storage (LDES) Council. The CEO-led group has brought together key actors—from technology providers to end customers—with the aim of understanding the technology landscape and pathways to economic breakthrough and scaling. Council participants are in a position to help shape their industries and drive collaborations.

Lead on sustainable operations, through ambitious targets, innovation, and partnerships. Successful green business builders are leaders in how their operations minimize carbon emissions and other environmental impacts. For example, Northvolt, the Swedish battery manufacturer, has set a target to produce batteries that have a lower carbon footprint than most current EV batteries—by 80 to 90 percent—by leveraging green electricity and recycled input materials. Sustainable-textile company Spinnova has designed a manufacturing process with a water and chemicals footprint that is lower than that of similar products. Many green business builders also partner with organizations that share the same mentality. This 360-degree dedication to sustainability could help to drive credibility and encourage partnerships and innovation that may keep these companies ahead of their peers.

Dedicate recruiting resources early in the process. Many green business builders, whether they’re start-ups or corporates, are seeking the talent they need to scale quickly—and the range of skills required to pull off successful green businesses can be wide. Green business builders identify individuals who could help shape and (as needed) pivot strong business models and explore potential partnerships and financing structures. Many new green businesses benefit from those who understand customers’ technical, investment, and decision-making processes. Consider the specific skill sets the organization may need to meet business goals. For B2B technologies, for example, there could be a need to build awareness and acceptance. In B2C, strong brand-building skills could be beneficial to create messaging that speaks to green credibility and tangible, real-world impact. Finally, physical technology ramp-up, factory construction, and supply chain scaling at an ambitious speed typically require bringing along the best of the best in operations skills. Dedicating resources for recruiting early in the endeavor could be a critical enabler of scaling quickly, especially in areas where there may be a scarcity of talent.

Green business builders often tackle the commercial side of investment risk by signing up captive demand for their output before they start to physically scale.

Building a green business is no small feat. It often requires moving at unprecedented speed, setting ambitious growth targets, and planning multiple steps ahead. The mindset green business builders have demonstrated is very close to that of the digital leaders of our time: they have been adept at creating and shaping markets rather than spectating and waiting for the markets to appear, and they have embraced the notion of accelerated scaling. This mindset combined with a few key principles could help propel green business building on the global journey to net zero.",,[],"['Rob Bland Anna Granskog Tomas Nauclér', 'Rob Bland', 'Anna Granskog', 'Tomas Nauclér']"
