title,text,summary,keywords,authors
Recycled cotton company Recover raises $100M in funding led by Goldman Sachs,"Dive Brief:

Taking a step toward creating a more low-impact clothing industry, recycled cotton fiber company Recover has raised a $100 million minority equity investment led by Goldman Sachs Asset Management, according to a press release. Goldman Sachs has invested alongside majority shareholders Story3 Capital Partners.

Recover, which creates recycled cotton fibers and blends for new apparel from textile waste, intends to use this investment for global expansion and increased production capacity. It currently works with companies such as Revolve, Lands’ End and Primark, per the release.

“Recover is a leading disruptor in the apparel and textiles space with much-needed sustainable solutions grounded in materials science. We’re excited to invest in Recover’s growth to accelerate scaled production and the continued development of its technologies,” Letitia Webster, managing director and chief sustainability officer of Goldman Sachs Asset Management Division, said in a statement.

Dive Insight:

Goldman Sach’s investment shows the increasing interest in dealing with a large environmental problem — post-industrial and post-consumer textile waste from the fashion industry — while still creating a way for businesses to produce.

Textile waste in the U.S. largely comes from discarded clothing, with around 11 million tons of textile waste put into landfills in 2018 alone, according to data by the U.S. EPA. Textile production is estimated to release around 1.2 billion metric tons of greenhouse gas emissions per year, according to the Ellen MacArthur Foundation.

Recover uses some of that textile waste to create a proprietary cotton fiber and fiber blend, resulting in a more circular system. The company estimates the new funding will help it produce 350,000 metric tons of recycled cotton fiber per year by 2026, per the release.

The new capital values the company at $1.1 billion, according to multiple media reports. Press representatives from the company declined to comment on the valuation when asked by Retail Dive.

Fashion retailers are taking notice of the negative impact of textile waste as well. The RealReal, Rent the Runway, Fashionphile and others are part of a new organization called the American Circular Textiles policy group, seeking to tackle textile waste and reuse, according to Women’s Wear Daily.

The retail industry is viewed by some as inherently bad for the environment, and creating a more sustainable system isn’t easy. Recover’s website states that its recycled fibers can be “recycled for several cycles,” but do eventually degrade over time at varying rates based on what other fibers they are blended with.",,[],"['Dani James', 'Associate Editor']"
Worn Again Technologies launches Swiss textile recycling ecosystem,"Bringing together key industry players across the entire textile value chain, the initiative will support the creation of a circular economy based on Worn Again Technologies’ polymer recycling technology.

To cause a paradigm shift in the fashion industry and realise true circularity requires all members of the value chain to be on the same page and working towards the same goals, Worn Again Technologies (WAT) says.

The Swiss Textile Recycling Ecosystem is a network comprising fabric and textile manufacturers, waste collectors and sorters, as well as retailers, brand owners, and technology providers. All these parties will cooperate to make their shared sustainability vision for the sector a reality.

The partners will provide different types of textile waste to WAT’s demonstration plant, which will process 1,000 tonnes of material per year and is being built near technology scale-up partner, Sulzer Chemtech. After advanced chemical processing, virgin-like recycled fibres, such as polyethylene terephthalate (PET) and cellulose, will be provided to the same industry players to produce new high-quality fabrics.

Related

More precisely, the consortium will be composed of WAT’s main shareholders, Sulzer, Oerlikon, and H&M Group. In addition, Rieter will support short-staple spinning, Monosuisse will take care of PET fibre production, Coop will act as retailer, TEXAID will manage collection, sorting and provide feedstock together with Sallmann (ISA) and Serge Ferrari – all coordinated by Swiss Textiles.

The creation of Swiss Textile Recycling Ecosystem marks a key milestone in the upscaling of WAT’s recycling process technology, the firm says. It also supports its ambition to create a circular economy where non-reusable, hard-to-recycle textiles can be reintroduced into supply chains to become new fibres, textiles, and other products.

The construction of Worn Again Technologies’ first demonstration plant will start this year in Winterthur, Switzerland. It says this represents a crucial step towards upscaling and commercialising the company’s recycling process technology.

“Launching the Swiss Textile Recycling Ecosystem is a vision coming true. This leading group of like-minded organisations will help to shift the fashion industry from traditional, linear product lifecycle models to eco-conscious, circular material management,” says Erik Koep, CEO at Worn Again Technologies. “We believe that zero waste strategies can only become a reality if the entire sector is committed to acting as a whole. We see the Ecosystem as a way to align sustainability efforts across the whole textile value chain and as the next step towards a green fashion industry.”

Torsten Wintergerste, chairman of Worn Again Technologies and division president at Sulzer Chemtech, adds: “We look forward to working together with all members of the Swiss Textile Recycling Ecosystem. Their support is extremely valuable and their trust in our project is much appreciated. The Ecosystem members will support our textile recycling demonstration facility by providing textile waste that can be used as feedstock. The collaboration will also play a key role in scaling up our capabilities and building a network to support the implementation of industrial-scale plants globally.”",,[],"['Beth Wright Has Been A News Editor With Just Style Since', 'After Honing Her Journalism Skills In The World Of Local News. She Is Always Looking For A New Story', 'Particularly Enjoys Writing About Sustainability', 'The Circular Economy.', 'More This Author', 'Beth Wright']"
Bridging the PET waste gap with C-Zyme,"Technology has the ability to tap into vast new sources for recycling PET and is based on a very selective enzyme that will only depolymerize PET and not other materials.

In February this year, Carbios, based in Clermont-Ferrand, France, succeeded in producing both 100% enzymatically recycled white PET fibre and bottle-grade PET from mixed coloured textile waste, using its C-Zyme process.

The significance of this achievement was underlined by Bruno Langlois, the company’s business development and partnership director, at EDANA’s International Nonwovens Conference held in Lyon, France, on June 8-9.

C-Zyme means that virtually all PET that goes onto the market now has the potential to be recycled

“Fibre to fibre recycling is the only way to achieve true circularity and for the pledges fashion brands have already made to be realised,” he said. “Our technology has the ability to tap into vast new sources for recycling PET and is based on a very selective enzyme that will only depolymerize PET and not other materials in waste clothing, such as adhesives, dyes and other polymers.

“The process is low temperature and operates at atmospheric pressure with no solvents. The PET is extracted and separated and the recovered monomers are virgin quality.”

Prior to the C-Zyme process, the waste textiles are shredded and densified to reduce crystallinity and increase the surface area. C-Zyme can then degrade 98% of such a mass in 16 hours.

Langlois pointed out that around 90 million tons of PET is produced each year, with around 27 millions tons going into packaging and the remainder used to make fibres.

Currently, only 13% of textile waste is recycled, and mainly into lower quality applications such as nonwoven padding, insulation or wipes.

Not surprisingly, things are moving fast for the company, whose demonstration plant has been operational since September 2021. Since validating the C-Zyme process, it has subsequently partnered with Indorama Ventures to build an enzymatic PET bio-recycling production plant in Longlaville, Meurthe-et-Moselle, France, with a processing capacity of around 50,000 tons of post-consumer PET waste per year by 2025 – the equivalent to 2 billion PET bottles.

From January 1st 2025, the separate collection of textile waste, which is already in place in some countries, will be mandatory for all EU Member States and the Carbios process will be one of the solutions that will enable this waste to be sustainably recovered and included in a true circular economy model.

“C-Zyme means that virtually all PET that goes onto the market now has the potential to be recycled,” Langlois said. “We are targeting 90-95% recovery of polymers from the textile waste material.”

www.carbios.com",,[],[]
XDD Debuts 2nd Skin Eco-Friendly Stretch Denim for One-Size Fit,"XDD has developed a new denim fabric called 2nd Skin, which is manufactured to provide jeans wearers with a sustainable ultra-stretch feel with excellent recovery capabilities.

2nd Skin is XDD’s newest “One-Size Fit” collection that can fit a range of differently sized people, as the jeans may be snugger on larger frames and baggier on smaller bodies. The collection is part of the One-Size Fit “story” that the textiles manufacturer launched in April during the Kingpins Show in Amsterdam. Including One-Size Fit, XDD unveiled seven stories at the event, also debuting Vintage Friendly, Black Denim, Raw Denim, Neutrals, Mild Hand Feel and Ecology Denim.

Although it is difficult to make all product fit XDD’s “one-size” standard, this story aims to deliver on that standard by offering the ultra-stretch option. There are two material elements that characterize the 2nd Skin fabric and help cater to One-Size Fit, XDD says.

The first is a spandex fiber from LYCRA® ADAPTIV, which is a patent-pending, adaptive fabric that is designed to adjust to a wearer’s functional needs. This means that when the wearer is at rest, the polymer adapts its compressive holding force to deliver the right fit, shape and control. When the wearer is in motion, the polymer adapts its elasticity to deliver improved comfort in motion and a second-skin effect, allowing the garment to better stay in place on the body. Garments made with fabrics containing LYCRA® ADAPTIV fiber are durable and are also easier to put on and take off.

The second element will be adding EcoVeroTM, a fabric produced from specially processed wood pulp and often compared to silk and cotton. This viscose fiber is certified from Lenzing, providing an eco-softness on skin with 50 percent lower emissions and waste impact than generic viscose, which is also biodegradable and sustainable.

This fabric is suitable for a skinny/slim silhouette, while also being comfortable enough to be worn for an entire day.

To produce the 2nd Skin collection and deliver the One-Size Fit promise, XDD leveraged the Aerate-Max technique, which offers the denim both a natural look and feel, and includes additional details such as eco-friendly finishes like laser treatments.

The manufacturer’s data indicates that the fabric has a 5 percent increase in stretch and recovery capabilities when compared with DualFX technology. This is a new development for the “all day comfort” direction that the industry has taken toward jeans production.

XDD preps to launch new spinning mill in 2024

To maintain its status as a true vertical mill factory that strives to embed continuous improvement in the manufacturing process, XDD will launch its new spinning factory in 2024. The facility, based in Vietnam’s Quang Ngai province, will be located next to the denim mill.

The mill’s purpose is to spin different types of products, particularly TENCEL™ Lyocell™, EcoVeroTM and ModalTM, as well as TENCEL™ x REFIBRA™, but also with T400, Creora® and other cotton products.

In combining its commitment to sustainable fabrics with vintage inspiration, responsible manufacturing processes and waste reduction, XDD aims to further develop collections that can benefit both the consumer and the environment alike. As XDD increases its capacity, the firm aims to keep the quality stable and to maintain the vintage-friendly fabric’s strength.

To learn more about XDD Denim and its parent XDD Textile, click here. To follow XDD Textile on Instagram, click here.",,[],['Sj Guest Editorial']
Generating wealth out of textile waste,"Waste is actually asset - so they say. And moves are afoot to turn waste into assets of various forms in many parts of the world including India. This, in turn, has given rise to recycling of various products, which otherwise we throw out as wastes after their use. Textile recycling, for instance is the process of recovering fiber yarn or fabric and reprocessing the textile material into useful products.

Textile waste products are gathered from different sources and are then sorted and processed depending on their condition, composition and resale value. Clothing recycling, on its parts, is part of textile recycling. It involved recovering old clothing and shoes for sorting and processing. End products include clothing suitable for re-use, cloth scraps or rags as well as fibrous material. Interest in garment recycling is rapidly on the rise, thanks to environmental awareness and landfill pressures. For entrepreneurs also, it provides a business opportunity. In addition, various charities also generate revenue through their collection initiatives for old clothing.

Kolkata-based Footstep Foundation, for instance, has teamed up with FACES and MTC Group, the four decade old company that strives to make a significant contribution towards resource management and conservation by providing raw material in the form of scrap, to recycling industries in India and across the world, to organise a trash to wealth initiative RE-Turn.

It's a mission to develop skill among girls and women to use old clothes to make new household useful products like tablecloth, table mats, coaster, table runners, pillow and cushion covers, bed covers, floor rugs etc. Through this project, not only efforts will be made to create a circular economy but also create a sustainable livelihood renewal initiative.

Mind you that every piece of clothing you are wearing has gone through a complex manufacturing process that uses a high amount of electricity, water and other energy sources. Recycling clothes saves energy by reducing or eliminating the need to make materials from scratch. One has to keep in mind that we can't keep growing more cotton and producing new clothes. To feed a growing population's appetite for consumption, we have to start recycling, or as we like to call it, pure cycling. Cotton, the primary fabric used in t-shirts, is a water-intensive crop and can be destructive for the soil. Given that it's not a food crop, it also takes away precious resources and arable land, which could be used to feed. Interestingly, by some estimates, current cotton farming could fill up land the size of modern-day Turkey.

In India, more than 1 million tonnes of textiles are thrown away every year, with most of this coming from household sources, according to the Indian Textile Journal. Textiles make up about three per cent by weight of a household bin. It is also the third-largest source of municipal solid waste in India.

Therefore, what this Kolkata-based organisation led by a woman entrepreneur Sakuntala Chanda has kicked off, can truly be a game changer, if proper awareness is created and the plan is properly executed. Return of your old and used clothes can be your return to the society and environment.",,[],[]
Fellowmind helps Spinnova transform textile production with Microsoft tools,"Technology provider Fellowmind is helping Spinnova to transform modern textile production by using Microsoft Dynamics 365 and Azure.

Spinnova has developed a technology to make textiles from wood and waste streams without the use of harmful chemicals. The material is biodegradable and recyclable, and its production does not create any waste, by-products or microplastics. In preparation for its global rollout, the company needed to digitise its operations, so sought help from Fellowmind.

“The carbon dioxide emissions of the fibre production we develop are about 65 per cent lower than in the production of cotton from its cultivation to the production of fibre, and significantly lower than in the production of polyester and viscose,” said Sanna Haavisto, information solutions manager at Spinnova.

Fellowmind helped the firm create a complete enterprise resource planning (ERP) solution based on Microsoft Dynamics 365 Business Central and Azure technologies that would enable employees to monitor and control its growing operations in real time and based on the right information.

“Of all the system vendors we met, only Fellowmind was able to introduce the new ERP as quickly as we needed,” said Haavisto. “By working together in efficient workshops, we were able to clarify the minimum level of requirements and the key processes that got us started. Since then, the development has been easy to continue, and we are constantly introducing new features as needed.”

The solution enables Spinnova to build more efficient reporting, improve process transparency, and facilitates the planning and monitoring of the business as a whole. Spinnova employees can manage operations with the right information at all stages of any process, react quickly to deviations, and automate steps that were previously manual.

The partnership with Fellowmind has unified Spinnova’s information systems into one seamless entity. As the textile manufacturer continues to grow its business – for example through collaborations with brand such as Adidas and Marimekk – Haavisto believes the ERP solution will provide an excellent foundation into the future.

“The most valuable thing in working with Fellowmind was the experts’ excellent understanding of our situation and key needs,” he said. “We didn't have to wade through hundreds of rows of tables for different requirements. Instead, we were able to exchange thoughts about our needs with Fellowmind's experts, who in turn found the right approach for this project and made it happen.”



Share this story",,[],[]
Textile recycling service almost ready for launch,"The city is preparing to launch a textile recycling program that will divert tons of clothing and other wearable/fabric items from the waste stream, and generate revenue.

According to the city’s Solid Waste and Environmental Programs manager Chaz Newton, an agreement has been struck with Helpsy, a for-profit recycling company that will manage the program, assisted by WasteZero, which will serve as a “middle man” in moving an estimated 129 tons of textiles annually from Manchester to the Massachusetts Helpsy warehouse.

During the April 14 Board of Aldermen meeting, Newton explained that landfill capacity in New Hampshire is “slowly diminishing,” with an eventual expiration date at the state’s largest landfill, Turnkey Landfill in Rochester, forcing municipalities to find other options.

“For the time being textile recycling is a method to divert material that can easily be diverted,” Newton said.

The process will be fairly simple for residents, says Newton. Using a Textile Recycling widget on the city’s Public Works site, residents will be taken to a Helpsy request form which allows you to request your preferred day of pick up (not your usual trash day, to eliminate confusion, said Newton), along with your address and contact information. On pick-up day, just place items you’re discarding in a plastic bag, clearly labeled “for pick-up” outside your front door. WasteZero will pick up the bags and deliver them to Helpsy.

“Our main goal is to remove items from the waste stream and to recycle,” Newton said.

Based on results in other municipalities that participate with Helpsy’s program, including Hooksett, it is estimated that Manchester could divert 129 tons of textiles per year, which equates to approximately $9,000 in savings (at a projected $70 per ton) and $5,160 in revenue (at a projected $40 per ton).

The program, initially expected to be up and running by the end of April, has been delayed, Newton said. The city is awaiting the finalization of legal paperwork.

“I do not have a concrete date for when the program will be launched,” Newton said on Wednesday.

A national trend

The issue with shrinking landfill space and a glut of textiles in the waste stream is a national issue.

The US Environmental Protection Agency says the main source of textiles in municipal solid waste is from discarded clothing

The recycling rate for all textiles in 2018 was 14.7 percent, with 2.5 million tons recycled. Within this figure, EPA estimated that the recycling rate for textiles in clothing and footwear was 13 percent based on information from the American Textile Recycling Service. The rate for items such as sheets and pillowcases was 15.8 percent in 2018.

That’s where companies like Helpsy come in.

Capitalizing on the practical need for textile recycling, coupled with the financial opportunities – in 2021 the global textile recycling market was valued at more than $5 billion – companies like Helpsy are becoming more common.

Their belief that “clothes aren’t trash” is what motivates them ecologically, and amplifies their B Corp-status. Helpsy’s website reports 95 percent of textiles collected are reused, upcycled, or recycled; 75 percent of items are reusable; 20 percent are recyclable.

Items that can be recycled range from footwear and everyday clothing items, to outerwear, underwear, blankets, sports equipment and accessories (see list below).

Once bags arrived at the Helpsy warehouse items are sorted depending on what it is and their condition, landing in thrift stores around the country or other second-hand international markets. Items that are damaged or too worn get turned into rags for industrial use, stuffing and insulation.

In addition to the new municipal recycling program, Helpsy has designated collection bins already established in Manchester, at St. Paul’s United Methodist Church on Smyth Road; and Comcast on East Industrial Park Drive.

Helpsy is a certified B-Corp, meaning that while it is a for-profit company it also focuses on social and environmental gains. You can read more here from their 2021 impact report.

Items to recycle:

Anything you can wear, sleep in, or dry yourself off with – this includes any type of material composed of natural or synthetic fibers such as products made from wool, silk, linen, cotton, polyester, leather, vinyl, hemp, and rayon.

The following items can be donated in any condition (torn, worn, stained, missing buttons, broken zippers, etc.) as long as they are clean, dry, and odorless.

Footwear (in pairs):

■Shoes

■Heels (wedges, pumps)

■Flats

■Sandals

■Flip Flops

■Boots (work boots, dress boots, winter boots)

■Sneakers

■Cleats

■Slippers

Clothing:

■Tops (T-shirts, blouses, shirts, tank tops)

■Sweaters

■Sweatshirts

■Dresses

■Outerwear (coats, jackets, blazers)

■Bottoms (pants, slacks, jeans, sweatpants, skirts, shorts)

■Suits

■Socks

■Pajamas

■Slips

■Bras

■Underwear

Accessories:

■Hats

■Bags (pocketbooks, backpacks, duffle bags, totes)

■Belts

■Gloves

■Ties

■Scarves

■Bathrobes

Linens:

■Sheets

■Blankets

■Towels

■Curtains/Drapes

■Aprons

■Dishcloths

■Cloth napkins

■Table linens

■Comforters

■Throw rugs

■Placemats

Other:

■Halloween costumes

■Sports jerseys

■Pet clothing

■Canvas

Correction: Outfitter’s Thrift Store does not have a Helpsy collection bin. These articles are being shared by partners in The Granite State News Collaborative. For more information, visit collaborativenh.org.",,[],"['David Brooks -', 'Michael Rubinkam -', 'Max Scheinblum', 'Alli Fam -']"
"85% of clothes, textiles in US dumped in landfill or incinerator: NIST","Category Select Category Apparel/Garments Textiles Fashion Technical Textiles Information Technology E-commerce Retail Corporate Association Press Release

SubCategory Select Sub-Category",,[],[]
Designer Athena Gronti Creates Quilt from G-Star Raw’s Waste,"Greek artist Athena Gronti is the latest young talent to turn G-Star Raw denim waste and deadstock into an art object.

Gronti’s “Ariadne’s Thread” quilt is part of the Dutch denim brand’s “The Art of Raw” program, a collaborative project that explores the endless possibilities of denim.

Pulling inspiration from “Ariadne’s Thread,” a Greek myth in which the princess of Crete helped her beloved hero escape from a labyrinth using a thread, Gronti created a textile quilt that showcases the various textures of denim. The fabric is rough in some places and soft in others. Intricate stitching and abstract shapes add dimension.

Gronti combine disciplines such as photography and illustration within her work. Textiles, however, have a sentimental value to the designer as her grandmother was a seamstress, embroidering and using a sewing machine throughout her childhood.

“For me, it’s this parallel that I am the person to hold the beginning of the yarn for the viewer, leading them into the rich history of the material,” she said. “Denim is like the water of textiles to me. It’s crazy, it has so many paradoxes and can really change into such a wide variety of shapes and qualities.”

G-Star Raw launched The Art of Raw in May as a monthly art platform that calls on young designers to channel their creativity by transforming its denim scraps into a work of art using their mode of choice.

“Ariadne’s Thread” quilt Courtesy

Teun Zwets, a 2020 graduate of the Design Academy Eindhoven in The Netherlands, was the first artist to participate. Zwets created “Denim Living,” a chair constructed from a metal frame as a base with denim waste layered on top and laminated with a binder.

Over the next year, the project will feature different young designers each month on social media including artwork from designers Lenny Stöpp, Hozan Zangana, Nienke Sikkema, Iwan Pol and Pien Post.",,[],['Angela Velasquez']
Worn Again recycling plant to cut tonnes of annual textile waste,"Worn Again Technologies says the new plant represents a crucial step towards upscaling and commercialising its recycling process technology for the textile and apparel industry.

The plant will be built and operated by the UK firm and will be constructed near to one of its technology partners, Sulzer Chemtech, in Winterthur, Switzerland.

The company hopes its new industrial-scale infrastructure will help validate the closed-loop chemical recycling solution that it has developed alongside strategic partners.

The process obtains polyethylene terephthalate (PET) and cellulose from non-reusable, hard-to-recycle textiles that constitute post-industrial and post-consumer waste. The Worn Again Technologies process purifies the products by removing dyes, contaminants and impurities, a step forward from traditional recycling methods, it says, and as such, delivers high-quality, virgin-like materials that can be reintroduced into supply chains to become new fibres, textiles and other products.

Related

Erik Koep, CEO at Worn Again Technologies, says, “The construction and operation of this demonstration plant are the next major milestones in achieving our vision for textile circularity. We look forward to starting operations soon and see this as the first plant in a global network of processing facilities.”

Torsten Wintergerste, chairman of Worn Again Technologies, adds: “We are delighted to see our technologies being leveraged to create a state-of-the-art textile recycling plant. Building it in Switzerland gives Worn Again Technologies direct access to Sulzer Chemtech’s global R&D facilities and the Swiss textile industry. We will build an ecosystem of partners around this demo plant and drive forward the creation of a circular economy of textiles. Switzerland is an ideal location for Worn Again to realise the demonstration plant with all stakeholders in the shortest time period possible.”

In 2020, Worn Again Technologies secured up to EUR8m (US$9m) in new equity capital from investors, including follow-on commitments from two of its existing strategic investors, H&M Group and Sulzer Chemtech.",,[],"['Features Writer At Just Style.', 'Lives The Beach.', 'More This Author', 'Fi Forrest']"
